"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.8","...","1011.3","2017-01-01 08:45","1006.6","2017-01-01 15:19","22.2","28.3","2017-01-01 14:27","19.0","2017-01-01 23:59","...","65","45","2017-01-01 14:28","1.9","122","8.0","118","2017-01-01 08:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1008.5","...","1010.8","2017-01-02 09:14","1007.0","2017-01-02 16:15","20.5","24.5","2017-01-02 12:02","17.2","2017-01-02 05:13","...","77","57","2017-01-02 11:47","0.7","149","5.1","134","2017-01-02 23:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1008.4","...","1010.6","2017-01-03 09:47","1006.9","2017-01-03 14:29","20.5","22.6","2017-01-03 12:58","19.5","2017-01-03 07:08","...","83","73","2017-01-03 13:34","1.3","114","7.3","131","2017-01-03 14:33","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1005.8","...","1007.9","2017-01-04 08:31","1003.7","2017-01-04 14:18","22.7","27.5","2017-01-04 14:47","18.7","2017-01-04 06:58","...","73","54","2017-01-04 14:49","1.4","126","9.7","153","2017-01-04 11:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1005.1","...","1007.0","2017-01-05 09:40","1003.0","2017-01-05 15:10","21.2","25.4","2017-01-05 13:47","18.5","2017-01-05 06:41","...","77","58","2017-01-05 13:44","0.4","8","2.9","8","2017-01-05 14:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1004.2","...","1006.1","2017-01-06 08:56","1002.4","2017-01-06 15:26","21.2","25.9","2017-01-06 12:07","19.0","2017-01-06 04:12","...","82","58","2017-01-06 12:07","0.5","279","4.6","113","2017-01-06 11:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1002.0","...","1003.9","2017-01-07 10:01","999.6","2017-01-07 14:29","21.6","25.3","2017-01-07 13:19","20.4","2017-01-07 19:47","...","81","60","2017-01-07 12:37","0.5","280","4.0","232","2017-01-07 14:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1002.9","...","1005.0","2017-01-08 23:00","1000.7","2017-01-08 14:24","20.1","22.2","2017-01-08 11:17","18.0","2017-01-08 22:36","...","78","67","2017-01-08 14:15","1.0","124","6.4","110","2017-01-08 20:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1006.7","...","1008.7","2017-01-09 09:16","1004.6","2017-01-09 00:22","17.4","19.8","2017-01-09 10:42","16.0","2017-01-09 23:30","...","67","59","2017-01-09 10:42","2.0","123","8.9","107","2017-01-09 20:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1007.9","...","1010.3","2017-01-10 09:30","1005.5","2017-01-10 15:19","18.2","21.8","2017-01-10 14:55","15.4","2017-01-10 06:24","...","64","53","2017-01-10 14:57","2.1","130","10.6","70","2017-01-10 18:57","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1006.8","...","1009.4","2017-01-11 08:36","1004.2","2017-01-11 15:07","19.3","22.2","2017-01-11 13:49","17.1","2017-01-11 05:06","...","71","62","2017-01-11 13:50","2.9","123","10.8","118","2017-01-11 09:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1004.3","...","1006.5","2017-01-12 00:16","1001.8","2017-01-12 15:05","19.7","23.3","2017-01-12 12:10","18.3","2017-01-12 05:01","...","80","67","2017-01-12 12:12","0.7","126","5.4","73","2017-01-12 00:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1005.6","...","1007.4","2017-01-13 22:37","1003.7","2017-01-13 01:28","15.1","18.7","2017-01-14 00:00","13.6","2017-01-13 23:31","...","90","79","2017-01-13 00:35","0.6","126","7.6","83","2017-01-13 21:22","17.5","...","...","","...","","...","...","...","...","...","...","","..."
"14","1008.7","...","1010.7","2017-01-14 22:37","1006.4","2017-01-14 01:55","13.4","15.3","2017-01-14 16:05","11.9","2017-01-14 06:29","...","84","67","2017-01-14 18:33","1.8","124","8.3","102","2017-01-14 16:46","11.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1010.1","...","1012.0","2017-01-15 08:49","1008.7","2017-01-15 13:51","13.7","15.2","2017-01-15 13:50","12.7","2017-01-15 00:02","...","80","72","2017-01-15 10:42","1.9","125","9.7","137","2017-01-15 06:17","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","1010.3","...","1011.9","2017-01-16 09:25","1008.5","2017-01-16 15:38","14.8","16.9","2017-01-16 11:23","13.1","2017-01-16 00:43","...","76","66","2017-01-16 11:46","1.9","122","9.3","101","2017-01-16 12:29","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1009.5","...","1011.6","2017-01-17 09:35","1007.0","2017-01-17 15:27","18.8","24.0","2017-01-17 13:45","15.3","2017-01-17 04:55","...","69","53","2017-01-17 13:23","1.9","127","8.8","132","2017-01-17 10:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
