"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1000.9","...","1002.9","2018-05-01 08:29","999.4","2018-05-01 16:49","27.2","31.2","2018-05-01 13:18","23.6","2018-05-01 05:32","...","73","55","2018-05-01 10:41","0.4","257","4.8","276","2018-05-01 14:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1000.2","...","1001.9","2018-05-02 23:16","998.5","2018-05-02 14:41","28.2","33.4","2018-05-02 13:35","23.7","2018-05-02 05:11","...","69","51","2018-05-02 14:06","0.4","267","6.7","282","2018-05-02 11:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1004.9","...","1006.8","2018-05-03 10:36","1001.4","2018-05-03 00:06","21.7","26.6","2018-05-03 00:34","19.9","2018-05-03 14:02","...","74","64","2018-05-03 10:52","1.7","117","8.7","113","2018-05-03 07:36","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"04","1004.3","...","1005.4","2018-05-04 08:55","1003.1","2018-05-04 15:53","23.6","27.6","2018-05-04 12:07","20.5","2018-05-04 01:01","...","61","49","2018-05-04 12:07","2.2","117","8.8","92","2018-05-04 06:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1004.1","...","1005.9","2018-05-05 09:18","1002.4","2018-05-05 16:38","25.9","30.4","2018-05-05 12:24","22.0","2018-05-05 06:12","...","69","57","2018-05-05 12:28","0.4","123","3.9","100","2018-05-05 00:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1000.0","...","1003.3","2018-05-07 00:00","997.6","2018-05-06 15:47","27.7","32.0","2018-05-06 13:53","23.3","2018-05-06 05:35","...","69","53","2018-05-06 10:12","0.4","96","4.2","269","2018-05-06 12:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","995.9","...","998.4","2018-05-08 00:00","993.9","2018-05-07 15:46","29.2","34.0","2018-05-07 14:40","24.9","2018-05-07 04:05","...","67","47","2018-05-07 11:46","0.4","264","6.0","290","2018-05-07 14:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","997.9","...","1002.7","2018-05-08 23:24","994.3","2018-05-08 01:14","24.6","30.7","2018-05-08 11:50","20.8","2018-05-08 20:52","...","78","57","2018-05-08 11:36","0.7","109","7.7","289","2018-05-08 02:03","27.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1004.3","...","1006.9","2018-05-09 22:14","1001.4","2018-05-09 02:50","22.3","24.5","2018-05-09 15:40","20.6","2018-05-09 23:51","...","70","58","2018-05-09 15:40","1.3","121","6.7","83","2018-05-09 15:40","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1004.6","...","1006.8","2018-05-10 08:40","1002.4","2018-05-10 16:56","23.3","28.5","2018-05-10 14:54","19.8","2018-05-10 02:32","...","60","43","2018-05-10 13:18","1.5","119","9.2","124","2018-05-10 10:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1001.9","...","1004.1","2018-05-11 08:36","999.9","2018-05-11 16:51","25.3","30.2","2018-05-11 16:34","21.4","2018-05-11 00:22","...","65","51","2018-05-11 16:32","0.5","115","5.3","141","2018-05-11 01:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","999.7","...","1001.4","2018-05-12 09:39","998.0","2018-05-12 16:44","26.8","32.2","2018-05-12 13:23","21.9","2018-05-12 05:02","...","69","47","2018-05-12 13:37","0.3","111","4.8","263","2018-05-12 13:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","998.8","...","1000.3","2018-05-13 21:44","997.5","2018-05-13 16:33","28.0","33.1","2018-05-13 14:30","23.5","2018-05-13 05:21","...","69","51","2018-05-13 15:03","0.4","127","4.4","256","2018-05-13 14:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","999.0","...","1001.2","2018-05-14 09:26","996.8","2018-05-14 16:11","28.2","34.1","2018-05-14 13:30","25.3","2018-05-14 05:41","...","70","46","2018-05-14 13:31","0.3","269","3.5","278","2018-05-14 10:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","998.3","...","1000.2","2018-05-15 09:50","997.4","2018-05-15 03:07","28.0","32.0","2018-05-15 14:06","24.2","2018-05-15 05:12","...","72","60","2018-05-15 18:08","0.4","272","4.7","277","2018-05-15 14:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","997.2","...","998.6","2018-05-16 09:55","996.0","2018-05-16 16:53","28.8","32.7","2018-05-16 11:50","24.2","2018-05-16 05:31","...","73","53","2018-05-16 10:31","0.4","91","4.8","233","2018-05-16 12:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","996.1","...","997.6","2018-05-17 08:10","994.5","2018-05-17 17:19","29.7","33.3","2018-05-17 12:51","27.1","2018-05-17 01:11","...","73","59","2018-05-17 09:50","0.4","254","4.4","299","2018-05-17 09:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","995.6","...","997.3","2018-05-18 08:23","993.8","2018-05-18 16:12","29.9","34.8","2018-05-18 12:17","26.1","2018-05-18 03:21","...","68","50","2018-05-18 10:40","0.4","261","4.9","293","2018-05-18 08:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","996.7","...","997.9","2018-05-19 08:39","995.3","2018-05-19 14:57","29.2","33.6","2018-05-19 14:01","26.7","2018-05-19 05:21","...","72","53","2018-05-19 11:33","0.3","270","4.1","262","2018-05-19 13:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","997.3","...","...","","...","","29.6","...","","...","","...","67","...","","0.6","281","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","998.7","...","1000.1","2018-05-21 10:22","995.7","2018-05-21 02:39","28.9","32.3","2018-05-21 14:23","26.1","2018-05-21 23:35","...","67","56","2018-05-21 14:22","0.4","113","3.7","271","2018-05-21 11:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","998.4","...","1000.5","2018-05-22 08:48","996.3","2018-05-22 16:27","29.1","33.7","2018-05-22 13:09","24.9","2018-05-22 04:51","...","66","49","2018-05-22 15:56","0.6","264","4.7","243","2018-05-22 13:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","999.1","...","1000.3","2018-05-23 22:17","997.4","2018-05-23 00:55","27.0","31.5","2018-05-23 10:31","23.1","2018-05-23 21:41","...","70","60","2018-05-23 12:12","0.9","117","6.2","125","2018-05-23 15:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","998.5","...","1000.3","2018-05-24 09:55","997.0","2018-05-24 18:42","27.3","32.4","2018-05-24 12:20","22.6","2018-05-24 04:41","...","66","52","2018-05-24 12:19","0.6","120","4.5","82","2018-05-24 00:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","996.2","...","998.5","2018-05-25 08:11","994.2","2018-05-25 16:06","28.6","32.0","2018-05-25 14:33","25.1","2018-05-25 03:31","...","70","57","2018-05-25 10:31","0.5","266","6.1","269","2018-05-25 16:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","995.5","...","997.0","2018-05-26 23:00","994.3","2018-05-26 02:51","29.5","33.2","2018-05-26 12:31","26.0","2018-05-26 04:51","...","66","53","2018-05-26 14:18","0.7","267","7.2","278","2018-05-26 14:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","996.8","...","998.1","2018-05-27 22:27","994.7","2018-05-27 14:58","30.6","36.3","2018-05-27 13:30","25.3","2018-05-27 04:42","...","65","42","2018-05-27 11:23","0.2","118","5.3","267","2018-05-27 15:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
