"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.3","...","1009.2","2017-03-01 09:27","1005.3","2017-03-01 15:34","15.7","18.0","2017-03-01 14:44","13.7","2017-03-01 04:04","...","77","57","2017-03-01 20:13","0.1","262","3.0","266","2017-03-01 12:16","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1009.1","...","1010.6","2017-03-02 10:02","1007.2","2017-03-02 03:54","14.0","16.5","2017-03-02 10:22","11.8","2017-03-02 22:49","...","61","45","2017-03-02 15:02","1.3","128","7.4","142","2017-03-02 20:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1005.6","...","1004.9","2017-03-03 22:01","1003.7","2017-03-03 18:09","16.6","20.6","2017-03-03 15:34","16.6","2017-03-03 23:20","...","59","52","2017-03-03 15:35","1.8","111","7.4","94","2017-03-03 16:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1003.5","...","1005.3","2017-03-04 07:17","1001.8","2017-03-04 15:25","17.9","21.1","2017-03-04 13:44","15.1","2017-03-04 06:39","...","74","50","2017-03-04 11:28","0.3","114","2.9","252","2017-03-04 14:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1000.9","...","1003.2","2017-03-05 09:40","998.9","2017-03-05 18:42","20.3","25.6","2017-03-05 13:16","15.2","2017-03-05 06:15","...","73","58","2017-03-05 12:36","0.3","131","5.0","248","2017-03-05 13:16","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1004.3","...","1006.8","2017-03-06 21:36","999.2","2017-03-06 01:27","14.8","20.5","2017-03-06 00:10","13.7","2017-03-06 12:52","...","84","72","2017-03-06 23:59","0.3","93","5.7","249","2017-03-06 01:34","18.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","1006.8","...","1008.3","2017-03-07 09:30","1005.5","2017-03-07 14:29","13.4","15.5","2017-03-07 11:45","11.5","2017-03-07 19:48","...","73","56","2017-03-07 10:05","0.9","117","7.0","107","2017-03-07 08:56","8.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1007.1","...","1008.5","2017-03-08 09:55","1005.4","2017-03-08 15:40","13.5","14.7","2017-03-08 14:44","12.1","2017-03-08 00:01","...","79","70","2017-03-08 17:16","0.9","105","8.8","137","2017-03-08 23:37","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1004.9","...","1007.3","2017-03-09 10:11","1003.3","2017-03-09 15:55","15.6","17.4","2017-03-09 12:38","14.3","2017-03-09 00:02","...","74","63","2017-03-09 10:05","2.8","110","9.7","100","2017-03-09 03:43","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1002.0","...","1005.3","2017-03-10 22:59","999.1","2017-03-10 14:48","16.8","18.2","2017-03-10 15:52","15.7","2017-03-10 21:42","...","90","82","2017-03-10 00:04","1.5","113","8.1","89","2017-03-10 13:40","36.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1003.3","...","1005.9","2017-03-11 21:25","1002.0","2017-03-11 02:36","20.0","25.2","2017-03-11 13:50","15.9","2017-03-11 00:05","...","78","60","2017-03-11 14:01","1.8","115","7.9","85","2017-03-11 03:15","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","1001.9","...","1004.7","2017-03-12 08:36","999.9","2017-03-12 14:00","21.8","26.1","2017-03-12 14:06","17.9","2017-03-12 03:03","...","77","61","2017-03-12 12:08","0.4","113","4.7","241","2017-03-12 14:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1001.9","...","1005.1","2017-03-13 23:33","998.9","2017-03-13 15:12","16.7","20.9","2017-03-13 08:26","13.7","2017-03-13 23:57","...","91","86","2017-03-13 03:57","0.2","259","3.5","301","2017-03-13 23:39","7.5","...","...","","...","","...","...","...","...","...","...","","..."
"14","1008.4","...","1011.0","2017-03-14 20:27","1004.7","2017-03-14 01:03","13.2","14.3","2017-03-14 12:43","12.3","2017-03-14 06:07","...","80","63","2017-03-14 22:03","0.3","111","5.4","116","2017-03-14 23:12","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1007.9","...","1011.3","2017-03-15 08:39","1004.7","2017-03-15 23:07","15.5","18.0","2017-03-15 12:09","13.6","2017-03-15 00:03","...","64","53","2017-03-15 12:12","1.8","114","9.2","64","2017-03-15 21:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1006.5","...","1008.6","2017-03-16 23:56","1004.4","2017-03-16 01:44","15.2","17.2","2017-03-16 12:10","14.1","2017-03-16 05:07","...","89","68","2017-03-16 00:03","0.6","112","4.7","76","2017-03-16 00:01","24.5","...","...","","...","","...","...","...","...","...","...","","..."
"17","1007.2","...","1009.2","2017-03-17 21:18","1006.0","2017-03-17 17:03","19.0","19.6","2017-03-17 16:48","17.6","2017-03-17 21:58","...","80","79","2017-03-17 17:55","1.0","114","4.2","102","2017-03-17 16:48","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"18","1007.7","...","1009.4","2017-03-18 09:34","1005.7","2017-03-18 15:06","19.0","23.3","2017-03-18 11:35","16.5","2017-03-18 06:20","...","86","69","2017-03-18 13:00","0.2","93","3.6","251","2017-03-18 14:06","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1007.5","...","1009.6","2017-03-19 06:58","1005.5","2017-03-19 14:09","19.3","23.2","2017-03-19 14:07","16.9","2017-03-19 07:04","...","87","68","2017-03-19 14:08","0.2","107","5.2","113","2017-03-19 14:21","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1003.8","...","1006.0","2017-03-20 00:00","1001.8","2017-03-20 03:58","21.0","25.0","2017-03-20 15:08","17.2","2017-03-20 05:59","...","84","67","2017-03-20 15:09","0.1","272","4.0","286","2017-03-20 05:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1005.9","...","1008.3","2017-03-21 09:45","1003.7","2017-03-21 03:05","18.9","20.9","2017-03-21 02:02","16.4","2017-03-21 19:20","...","79","65","2017-03-21 12:40","2.1","116","11.9","113","2017-03-21 21:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1003.0","...","1006.1","2017-03-22 22:47","1000.4","2017-03-22 16:22","20.2","27.3","2017-03-22 12:10","16.3","2017-03-22 23:56","...","76","51","2017-03-22 12:10","1.7","110","10.0","105","2017-03-22 03:00","6.5","...","...","","...","","...","...","...","...","...","...","","..."
"23","1005.2","...","1007.1","2017-03-23 21:22","1003.0","2017-03-23 14:44","18.3","22.0","2017-03-23 13:38","15.9","2017-03-23 00:59","...","82","67","2017-03-23 14:09","0.7","117","7.9","80","2017-03-23 22:45","5.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1004.8","...","1007.4","2017-03-24 07:52","1001.1","2017-03-24 14:18","21.1","28.5","2017-03-24 14:49","17.0","2017-03-24 01:47","...","66","46","2017-03-24 14:43","0.8","109","5.6","89","2017-03-24 00:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1007.6","...","1010.9","2017-03-25 22:19","1004.0","2017-03-25 01:02","15.8","28.6","2017-03-25 09:22","13.1","2017-03-25 23:19","...","89","75","2017-03-25 01:17","0.2","107","4.3","317","2017-03-25 02:23","22.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1011.6","...","1013.5","2017-03-26 23:21","1009.1","2017-03-26 01:32","13.7","15.4","2017-03-26 20:17","11.9","2017-03-26 03:18","...","81","60","2017-03-26 20:38","0.8","108","6.2","108","2017-03-26 20:54","16.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1011.2","...","1013.4","2017-03-27 00:05","1009.0","2017-03-27 16:03","18.8","25.9","2017-03-27 13:14","12.9","2017-03-27 02:41","...","53","33","2017-03-27 13:14","2.4","118","8.4","122","2017-03-27 10:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1008.3","...","1010.5","2017-03-28 08:52","1005.9","2017-03-28 14:56","21.1","28.1","2017-03-28 12:49","15.9","2017-03-28 06:00","...","57","29","2017-03-28 12:00","0.7","113","6.1","104","2017-03-28 01:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1008.7","...","1010.6","2017-03-29 10:01","1007.0","2017-03-29 14:35","21.2","26.9","2017-03-29 11:41","17.0","2017-03-29 04:28","...","67","45","2017-03-29 11:42","0.3","110","5.0","100","2017-03-29 23:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1006.3","...","1008.8","2017-03-31 00:00","1003.7","2017-03-30 23:52","21.6","27.1","2017-03-30 12:17","17.6","2017-03-30 05:02","...","74","55","2017-03-30 10:07","0.2","256","5.1","268","2017-03-30 13:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"31","1004.7","...","1010.8","2017-03-31 23:38","1000.8","2017-03-31 04:39","18.1","26.5","2017-03-31 10:30","12.7","2017-03-31 23:47","...","82","58","2017-03-31 10:34","0.4","111","5.6","147","2017-03-31 15:11","23.0","...","...","","...","","...","...","...","...","...","...","","..."
