"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.9","...","1011.1","2017-04-01 22:53","1008.2","2017-04-01 05:17","15.3","20.2","2017-04-01 14:07","12.1","2017-04-01 05:22","...","68","39","2017-04-01 15:57","0.4","105","5.3","307","2017-04-01 14:13","13.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1011.2","...","1013.3","2017-04-02 09:40","1009.8","2017-04-02 17:33","17.2","23.4","2017-04-02 14:44","11.6","2017-04-02 05:19","...","44","21","2017-04-02 15:09","1.6","114","7.1","114","2017-04-02 15:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1009.8","...","1011.9","2017-04-03 08:38","1007.3","2017-04-03 16:27","19.4","25.7","2017-04-03 13:14","14.5","2017-04-03 05:19","...","47","30","2017-04-03 12:25","2.2","110","9.4","83","2017-04-03 15:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1007.4","...","1009.6","2017-04-04 09:14","1005.2","2017-04-04 16:19","21.5","27.6","2017-04-04 12:00","16.1","2017-04-04 05:47","...","53","33","2017-04-04 11:40","0.5","111","4.0","265","2017-04-04 15:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1004.6","...","1007.3","2017-04-05 07:45","1001.9","2017-04-05 15:55","23.0","28.9","2017-04-05 14:55","17.2","2017-04-05 03:32","...","56","36","2017-04-05 15:13","0.2","105","4.5","266","2017-04-05 13:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1002.5","...","1004.4","2017-04-06 08:41","1001.0","2017-04-06 18:33","23.2","26.5","2017-04-06 10:34","20.1","2017-04-06 05:54","...","66","48","2017-04-06 09:34","0.1","112","3.7","127","2017-04-06 17:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1001.8","...","1004.0","2017-04-07 09:58","999.4","2017-04-07 03:58","23.8","28.4","2017-04-07 14:29","21.1","2017-04-07 05:07","...","77","57","2017-04-07 13:43","0.2","118","4.8","285","2017-04-07 11:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1001.5","...","1003.7","2017-04-08 08:26","999.2","2017-04-08 17:38","25.3","30.5","2017-04-08 13:50","20.7","2017-04-08 06:11","...","74","51","2017-04-08 11:12","0.4","284","4.0","268","2017-04-08 15:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","997.4","...","1000.9","2017-04-09 00:08","994.4","2017-04-09 16:51","26.8","31.9","2017-04-09 13:16","22.8","2017-04-09 05:35","...","70","48","2017-04-09 11:23","0.3","262","4.5","273","2017-04-09 16:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","994.1","...","996.3","2017-04-10 00:02","991.5","2017-04-10 16:02","28.9","34.7","2017-04-10 13:45","24.6","2017-04-10 01:35","...","56","37","2017-04-10 13:29","1.2","260","11.3","274","2017-04-10 09:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
