"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.8","...","1005.0","2018-07-01 22:11","1002.1","2018-07-01 13:32","28.2","32.1","2018-07-01 15:01","25.1","2018-07-01 00:04","...","84","66","2018-07-01 14:04","2.1","112","9.0","228","2018-07-01 12:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1003.3","...","1005.0","2018-07-02 11:10","1001.9","2018-07-02 17:42","25.2","27.0","2018-07-02 23:14","23.1","2018-07-02 14:23","...","94","85","2018-07-02 00:07","2.3","164","9.3","129","2018-07-02 12:01","261.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1003.1","...","1004.6","2018-07-03 07:21","1001.9","2018-07-03 16:03","27.7","31.7","2018-07-03 13:21","24.6","2018-07-03 08:13","...","88","73","2018-07-03 13:31","2.9","175","9.8","226","2018-07-03 12:58","44.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1002.8","...","1004.3","2018-07-04 08:02","1001.7","2018-07-04 17:05","26.9","30.1","2018-07-04 13:12","24.9","2018-07-04 14:16","...","92","77","2018-07-04 13:12","2.1","159","11.4","243","2018-07-04 14:10","27.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1002.9","...","1004.7","2018-07-05 10:41","1001.7","2018-07-05 16:10","28.1","30.3","2018-07-05 09:11","25.7","2018-07-05 01:55","...","85","74","2018-07-05 09:19","2.3","170","10.0","200","2018-07-05 09:19","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"06","1003.0","...","1004.4","2018-07-06 09:01","1001.8","2018-07-06 15:43","28.5","32.2","2018-07-06 12:11","25.7","2018-07-06 06:12","...","80","62","2018-07-06 11:35","2.4","169","10.0","235","2018-07-06 14:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1004.1","...","1006.1","2018-07-07 21:23","1002.5","2018-07-07 15:01","28.6","32.7","2018-07-07 10:03","25.1","2018-07-07 20:03","...","82","63","2018-07-07 09:45","2.4","242","8.5","250","2018-07-07 14:16","33.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1005.7","...","1007.5","2018-07-08 21:41","1004.3","2018-07-08 04:11","29.3","33.7","2018-07-08 10:48","24.9","2018-07-08 05:31","...","77","57","2018-07-08 12:47","1.1","339","5.4","311","2018-07-08 12:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1005.9","...","...","","...","","29.0","...","","...","","...","81","...","","2.0","358","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1002.6","...","1005.5","2018-07-10 01:02","998.6","2018-07-10 23:23","28.5","31.2","2018-07-10 10:41","26.2","2018-07-10 04:31","...","85","66","2018-07-10 10:02","3.7","11","14.6","11","2018-07-10 17:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","999.8","...","1005.3","2018-07-11 22:11","995.8","2018-07-11 04:01","28.4","30.8","2018-07-11 13:31","25.7","2018-07-11 05:52","...","83","71","2018-07-11 12:53","2.9","201","11.8","340","2018-07-11 01:36","2.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1005.2","...","1006.5","2018-07-12 22:11","1004.0","2018-07-12 16:39","28.7","34.7","2018-07-12 10:51","25.2","2018-07-12 05:12","...","82","60","2018-07-12 10:52","1.6","353","6.3","23","2018-07-12 15:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1005.6","...","1006.6","2018-07-13 21:16","1004.6","2018-07-13 17:11","29.1","33.1","2018-07-13 13:31","25.8","2018-07-13 04:16","...","83","65","2018-07-13 13:33","1.3","341","5.8","282","2018-07-13 12:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1004.9","...","1005.8","2018-07-14 11:46","1003.4","2018-07-14 16:04","29.2","33.1","2018-07-14 11:25","25.4","2018-07-14 05:42","...","81","64","2018-07-14 11:25","1.3","308","5.5","315","2018-07-14 15:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1004.6","...","1005.9","2018-07-15 10:11","1003.1","2018-07-15 20:21","28.5","32.3","2018-07-15 12:34","25.9","2018-07-15 04:33","...","84","67","2018-07-15 12:34","1.3","347","5.7","341","2018-07-15 13:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1002.3","...","1004.0","2018-07-16 07:52","1000.6","2018-07-16 16:42","29.3","33.4","2018-07-16 11:21","25.7","2018-07-16 05:41","...","81","61","2018-07-16 11:41","1.4","181","6.6","285","2018-07-16 12:33","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1001.1","...","1002.2","2018-07-17 22:32","1000.0","2018-07-17 16:31","30.3","34.1","2018-07-17 11:56","26.8","2018-07-17 05:32","...","77","58","2018-07-17 11:02","1.4","310","5.6","316","2018-07-17 12:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1002.7","...","1004.3","2018-07-18 21:53","1001.4","2018-07-18 16:08","30.5","34.8","2018-07-18 10:12","27.1","2018-07-18 05:42","...","76","54","2018-07-18 10:03","1.8","137","6.5","339","2018-07-18 15:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1004.2","...","1005.5","2018-07-19 09:22","1002.8","2018-07-19 16:36","30.3","34.3","2018-07-19 11:11","27.0","2018-07-19 05:52","...","74","56","2018-07-19 09:17","2.0","77","8.5","335","2018-07-19 15:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1002.3","...","1004.0","2018-07-20 07:53","1000.5","2018-07-20 15:28","29.3","33.5","2018-07-20 13:01","26.4","2018-07-20 23:41","...","77","63","2018-07-20 11:03","2.8","16","11.6","31","2018-07-20 15:31","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","999.5","...","1001.5","2018-07-21 00:01","997.5","2018-07-21 15:56","29.4","33.5","2018-07-21 12:12","25.9","2018-07-21 05:46","...","76","61","2018-07-21 09:34","2.4","9","9.8","4","2018-07-21 15:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1000.1","...","1002.7","2018-07-22 21:51","998.1","2018-07-22 02:51","28.4","32.2","2018-07-22 13:27","25.6","2018-07-22 23:27","...","83","68","2018-07-22 13:27","1.2","79","5.4","295","2018-07-22 13:36","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"23","1002.5","...","1005.2","2018-07-23 22:54","1000.3","2018-07-23 04:56","28.6","31.4","2018-07-23 15:03","25.6","2018-07-23 02:03","...","83","68","2018-07-23 14:31","2.3","235","9.9","229","2018-07-23 11:36","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1005.2","...","1006.6","2018-07-24 22:11","1003.8","2018-07-24 14:11","29.4","33.5","2018-07-24 12:41","26.4","2018-07-24 23:51","...","81","62","2018-07-24 12:42","1.7","244","6.6","242","2018-07-24 12:42","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1005.8","...","1007.2","2018-07-25 09:23","1004.4","2018-07-25 17:11","29.7","33.8","2018-07-25 15:24","25.3","2018-07-25 05:44","...","78","60","2018-07-25 12:01","1.2","306","5.8","308","2018-07-25 13:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
