"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1010.7","...","1012.5","2018-10-01 08:31","1009.1","2018-10-01 14:53","25.0","31.6","2018-10-01 11:51","19.8","2018-10-01 05:31","...","64","36","2018-10-01 12:24","2.0","20","11.6","26","2018-10-01 14:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1012.0","...","1014.4","2018-10-02 09:51","1010.3","2018-10-02 15:21","24.4","30.2","2018-10-02 11:14","20.1","2018-10-02 02:37","...","61","39","2018-10-02 11:14","3.4","23","11.8","24","2018-10-02 15:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1011.2","...","1013.7","2018-10-03 10:14","1008.7","2018-10-03 14:59","24.6","29.1","2018-10-03 11:11","21.0","2018-10-03 05:51","...","61","39","2018-10-03 09:35","4.1","16","12.8","21","2018-10-03 13:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1008.9","...","1011.8","2018-10-04 08:34","1006.6","2018-10-04 18:22","23.6","26.6","2018-10-04 11:36","22.6","2018-10-04 04:30","...","69","60","2018-10-04 09:31","4.9","13","12.0","15","2018-10-04 19:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1008.1","...","1010.6","2018-10-05 22:31","1006.0","2018-10-05 03:49","24.8","29.3","2018-10-05 11:54","20.0","2018-10-05 05:41","...","66","48","2018-10-05 13:13","1.9","11","9.6","51","2018-10-05 00:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1011.2","...","1012.9","2018-10-06 09:32","1009.7","2018-10-06 01:17","25.6","30.5","2018-10-06 12:34","20.6","2018-10-06 05:51","...","73","54","2018-10-06 10:11","1.5","10","10.2","2","2018-10-06 15:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1012.1","...","1014.7","2018-10-07 09:41","1010.0","2018-10-07 14:25","25.0","28.6","2018-10-07 13:01","22.8","2018-10-07 06:05","...","73","61","2018-10-07 11:33","3.8","16","11.8","4","2018-10-07 13:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1011.7","...","1014.0","2018-10-08 09:22","1009.7","2018-10-08 14:55","25.3","29.6","2018-10-08 13:15","22.4","2018-10-08 03:55","...","79","63","2018-10-08 09:51","3.3","11","10.4","9","2018-10-08 15:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1011.0","...","1012.8","2018-10-09 09:13","1009.0","2018-10-09 14:31","25.5","29.8","2018-10-09 10:21","22.5","2018-10-09 04:23","...","81","65","2018-10-09 10:22","2.0","5","9.8","10","2018-10-09 11:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1011.6","...","1013.7","2018-10-10 23:21","1009.3","2018-10-10 15:12","25.5","29.5","2018-10-10 13:01","22.7","2018-10-10 02:21","...","77","56","2018-10-10 11:32","3.1","23","10.5","29","2018-10-10 17:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
