"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.9","...","1016.3","2017-12-01 20:33","1013.4","2017-12-01 13:58","20.5","23.2","2017-12-01 12:34","19.5","2017-12-01 03:55","...","78","68","2017-12-01 12:41","7.0","24","17.0","24","2017-12-01 05:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1015.2","...","1017.2","2017-12-02 08:31","1013.5","2017-12-02 15:10","20.8","23.1","2017-12-02 11:22","19.5","2017-12-02 03:31","...","82","72","2017-12-02 11:32","5.4","20","14.4","26","2017-12-02 15:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1014.2","...","1016.6","2017-12-03 09:04","1011.8","2017-12-03 14:51","21.3","24.3","2017-12-03 13:27","20.1","2017-12-03 05:11","...","81","70","2017-12-03 13:32","5.2","21","12.7","28","2017-12-03 20:31","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1014.8","...","1016.6","2017-12-04 10:03","1012.9","2017-12-04 15:08","20.0","22.6","2017-12-04 12:21","17.9","2017-12-04 23:02","...","71","62","2017-12-04 12:27","5.7","25","13.8","7","2017-12-04 12:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1017.0","...","1020.1","2017-12-05 09:04","1015.1","2017-12-05 00:01","17.7","20.8","2017-12-05 11:01","14.8","2017-12-05 23:41","...","63","54","2017-12-05 11:02","4.9","23","12.8","18","2017-12-05 07:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1016.4","...","1017.8","2017-12-06 19:42","1014.7","2017-12-06 01:56","16.9","21.2","2017-12-06 11:22","14.7","2017-12-06 00:01","...","73","59","2017-12-06 11:24","2.7","21","8.7","9","2017-12-06 12:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1015.3","...","1017.0","2017-12-07 00:32","1013.4","2017-12-07 15:01","17.5","20.6","2017-12-07 12:21","15.3","2017-12-07 02:41","...","88","77","2017-12-07 13:46","3.2","38","12.3","21","2017-12-07 15:03","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1017.1","...","1019.2","2017-12-08 09:02","1015.1","2017-12-08 14:12","15.3","16.7","2017-12-08 00:01","13.2","2017-12-08 23:59","...","70","59","2017-12-08 11:21","6.7","24","17.4","24","2017-12-08 04:25","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1016.3","...","1018.1","2017-12-09 09:41","1014.7","2017-12-09 15:47","14.8","19.6","2017-12-09 12:12","12.5","2017-12-09 00:43","...","82","67","2017-12-09 13:19","2.5","19","6.8","22","2017-12-09 00:39","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1015.6","...","...","","...","","16.8","...","","...","","...","85","...","","2.5","64","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1015.2","...","1016.7","2017-12-11 09:01","1013.4","2017-12-11 14:01","18.3","21.4","2017-12-11 12:33","16.3","2017-12-11 06:41","...","65","56","2017-12-11 11:13","4.4","27","12.4","3","2017-12-11 12:15","0.0","...","...","","...","","...","...","...","...","...","...","","..."
