"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.1","...","1014.1","2018-05-01 08:27","1010.7","2018-05-01 16:41","27.0","31.0","2018-05-01 12:42","24.0","2018-05-01 04:47","...","82","64","2018-05-01 12:42","1.7","186","7.4","280","2018-05-01 14:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1011.6","...","1013.4","2018-05-02 07:25","1010.0","2018-05-02 17:01","27.5","30.9","2018-05-02 14:41","25.0","2018-05-02 05:11","...","81","64","2018-05-02 12:58","2.3","145","8.4","223","2018-05-02 10:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1013.3","...","1015.3","2018-05-03 22:11","1011.9","2018-05-03 02:22","25.2","28.9","2018-05-03 09:52","21.9","2018-05-03 23:21","...","74","55","2018-05-03 16:08","3.7","16","15.1","28","2018-05-03 11:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1014.7","...","1016.2","2018-05-04 22:21","1013.4","2018-05-04 03:41","24.8","30.3","2018-05-04 14:01","20.2","2018-05-04 02:39","...","75","58","2018-05-04 14:23","1.5","29","6.5","22","2018-05-04 00:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1015.2","...","1017.0","2018-05-05 08:51","1013.7","2018-05-05 15:22","26.8","31.2","2018-05-05 14:02","24.0","2018-05-05 05:42","...","73","52","2018-05-05 16:12","1.1","131","5.8","335","2018-05-05 12:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1011.4","...","1014.4","2018-05-06 00:01","1009.1","2018-05-06 16:02","27.8","31.4","2018-05-06 10:58","23.8","2018-05-06 04:11","...","76","59","2018-05-06 10:14","2.2","162","9.7","235","2018-05-06 13:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1008.1","...","1010.3","2018-05-07 08:55","1006.1","2018-05-07 17:01","28.4","30.8","2018-05-07 13:01","26.5","2018-05-07 04:51","...","78","63","2018-05-07 12:31","2.6","240","8.0","232","2018-05-07 14:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1008.6","...","1011.2","2018-05-08 22:34","1005.5","2018-05-08 04:17","26.4","30.9","2018-05-08 13:51","22.0","2018-05-08 03:27","...","81","64","2018-05-08 13:46","2.5","9","8.3","316","2018-05-08 02:22","33.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1013.0","...","1015.6","2018-05-09 21:41","1009.6","2018-05-09 03:11","22.6","25.0","2018-05-09 13:16","20.1","2018-05-09 07:21","...","81","67","2018-05-09 04:41","3.6","21","9.8","22","2018-05-09 06:36","17.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1014.1","...","1016.0","2018-05-10 09:25","1012.1","2018-05-10 16:14","23.4","27.6","2018-05-10 12:21","20.0","2018-05-10 05:05","...","69","56","2018-05-10 11:21","3.8","14","10.5","6","2018-05-10 03:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1012.9","...","1015.3","2018-05-11 09:01","1011.0","2018-05-11 16:04","25.0","29.8","2018-05-11 10:55","20.5","2018-05-11 02:46","...","74","58","2018-05-11 10:55","1.9","25","6.1","343","2018-05-11 10:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1011.0","...","1013.1","2018-05-12 08:52","1009.1","2018-05-12 16:59","26.0","30.4","2018-05-12 11:44","21.7","2018-05-12 05:05","...","80","59","2018-05-12 13:21","1.3","62","5.9","301","2018-05-12 16:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1010.4","...","1012.1","2018-05-13 10:13","1009.0","2018-05-13 16:53","27.0","30.7","2018-05-13 13:07","24.0","2018-05-13 03:43","...","78","58","2018-05-13 12:53","2.2","173","7.3","225","2018-05-13 10:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1010.1","...","1012.2","2018-05-14 08:51","1008.1","2018-05-14 16:12","27.8","32.5","2018-05-14 11:44","23.7","2018-05-14 04:11","...","75","56","2018-05-14 16:11","1.5","107","6.5","249","2018-05-14 14:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1009.5","...","1011.6","2018-05-15 10:03","1008.1","2018-05-15 04:22","28.0","31.4","2018-05-15 14:03","24.5","2018-05-15 04:22","...","81","66","2018-05-15 14:03","1.9","242","7.7","242","2018-05-15 13:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1008.4","...","1010.6","2018-05-16 10:38","1007.2","2018-05-16 02:44","28.5","31.7","2018-05-16 12:21","25.6","2018-05-16 05:25","...","85","71","2018-05-16 12:21","2.6","240","10.6","236","2018-05-16 12:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1007.7","...","1009.6","2018-05-17 09:17","1006.5","2018-05-17 17:58","28.1","31.1","2018-05-17 13:41","26.0","2018-05-17 23:43","...","83","72","2018-05-17 13:41","2.6","172","7.8","240","2018-05-17 13:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1007.1","...","1009.0","2018-05-18 08:41","1005.8","2018-05-18 02:42","27.9","31.0","2018-05-18 11:41","24.8","2018-05-18 04:41","...","80","64","2018-05-18 11:05","2.5","170","9.3","238","2018-05-18 12:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1007.6","...","1009.3","2018-05-19 09:50","1006.1","2018-05-19 17:11","28.1","31.6","2018-05-19 12:31","24.6","2018-05-19 05:21","...","79","63","2018-05-19 10:42","2.0","236","7.2","254","2018-05-19 13:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1008.4","...","1010.3","2018-05-20 09:27","1005.6","2018-05-20 02:39","28.6","32.2","2018-05-20 11:12","26.3","2018-05-20 03:31","...","79","61","2018-05-20 11:03","1.4","15","6.7","274","2018-05-20 13:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1009.4","...","1011.2","2018-05-21 09:51","1006.8","2018-05-21 03:07","28.5","32.4","2018-05-21 13:43","25.4","2018-05-21 04:41","...","77","61","2018-05-21 11:44","1.6","21","6.9","341","2018-05-21 12:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1009.7","...","1011.9","2018-05-22 08:21","1008.0","2018-05-22 15:51","28.9","34.4","2018-05-22 12:32","24.7","2018-05-22 05:14","...","74","46","2018-05-22 11:52","1.3","14","5.3","326","2018-05-22 12:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1009.5","...","1010.9","2018-05-23 08:31","1008.0","2018-05-23 17:34","28.6","32.8","2018-05-23 11:01","25.4","2018-05-23 22:04","...","75","57","2018-05-23 11:19","1.9","6","7.5","30","2018-05-23 16:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1009.2","...","1011.3","2018-05-24 08:54","1008.1","2018-05-24 16:12","27.6","32.2","2018-05-24 14:25","23.6","2018-05-24 03:13","...","75","57","2018-05-24 14:44","1.8","21","5.8","333","2018-05-24 12:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1007.7","...","1010.0","2018-05-25 07:31","1005.6","2018-05-25 16:31","28.9","31.7","2018-05-25 11:01","26.5","2018-05-25 02:11","...","75","64","2018-05-25 12:26","2.0","196","8.3","261","2018-05-25 12:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1007.7","...","1009.7","2018-05-26 08:43","1006.3","2018-05-26 01:51","28.6","31.4","2018-05-26 16:32","26.1","2018-05-26 04:41","...","79","60","2018-05-26 11:23","2.9","173","9.5","231","2018-05-26 11:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1008.2","...","1009.9","2018-05-27 08:51","1006.1","2018-05-27 16:01","29.3","33.5","2018-05-27 11:41","25.6","2018-05-27 05:16","...","77","60","2018-05-27 11:21","2.7","134","9.7","258","2018-05-27 11:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1008.2","...","1009.7","2018-05-28 11:21","1006.9","2018-05-28 02:51","29.8","33.4","2018-05-28 12:51","25.9","2018-05-28 05:33","...","77","59","2018-05-28 09:51","2.3","241","8.5","278","2018-05-28 13:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1009.6","...","1011.5","2018-05-29 23:01","1007.8","2018-05-29 18:01","30.0","33.6","2018-05-29 09:51","27.3","2018-05-29 05:11","...","77","61","2018-05-29 13:32","1.7","161","6.3","261","2018-05-29 11:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1009.7","...","1011.2","2018-05-30 07:41","1007.8","2018-05-30 16:11","29.9","33.5","2018-05-30 13:21","27.2","2018-05-30 01:31","...","79","61","2018-05-30 14:07","2.1","242","7.6","252","2018-05-30 13:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"31","1009.4","...","1010.9","2018-05-31 08:51","1007.8","2018-05-31 17:32","29.7","33.0","2018-05-31 14:12","26.9","2018-05-31 05:06","...","79","66","2018-05-31 11:53","2.2","236","7.1","6","2018-05-31 23:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
