"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.1","...","1005.2","2017-08-01 22:11","1000.9","2017-08-01 03:52","28.4","30.6","2017-08-01 14:03","26.6","2017-08-01 15:45","...","78","70","2017-08-01 14:01","3.5","172","11.9","189","2017-08-01 09:27","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"02","1003.0","...","1004.7","2017-08-02 08:15","1000.8","2017-08-02 16:01","28.3","32.7","2017-08-02 14:51","26.0","2017-08-02 05:52","...","83","65","2017-08-02 14:51","2.0","235","6.5","175","2017-08-02 14:51","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"03","1001.9","...","1003.6","2017-08-03 21:54","999.5","2017-08-03 15:41","29.6","34.5","2017-08-03 13:01","26.0","2017-08-03 05:21","...","80","59","2017-08-03 11:22","2.0","173","8.6","244","2017-08-03 17:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1003.1","...","1004.6","2017-08-04 22:21","1001.7","2017-08-04 03:27","29.7","32.8","2017-08-04 12:41","26.9","2017-08-04 05:01","...","78","64","2017-08-04 12:29","2.5","236","8.1","251","2017-08-04 14:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1004.8","...","1006.1","2017-08-05 22:06","1003.6","2017-08-05 03:06","29.6","32.3","2017-08-05 13:24","27.4","2017-08-05 04:55","...","79","68","2017-08-05 10:39","2.8","236","9.0","234","2017-08-05 14:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1005.3","...","1007.1","2017-08-06 10:18","1003.3","2017-08-06 16:55","29.6","32.8","2017-08-06 14:41","27.2","2017-08-06 05:37","...","81","65","2017-08-06 15:11","2.9","242","8.6","225","2017-08-06 13:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1005.6","...","1007.1","2017-08-07 07:57","1004.0","2017-08-07 01:26","30.0","33.7","2017-08-07 10:32","27.9","2017-08-07 04:02","...","80","61","2017-08-07 10:32","3.0","190","10.4","264","2017-08-07 13:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1006.3","...","1007.7","2017-08-08 09:01","1005.3","2017-08-08 16:11","30.1","33.0","2017-08-08 10:22","27.9","2017-08-08 05:13","...","78","63","2017-08-08 10:22","3.6","177","12.8","235","2017-08-08 13:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1005.9","...","1007.4","2017-08-09 09:03","1004.3","2017-08-09 16:22","29.7","32.8","2017-08-09 11:01","26.2","2017-08-09 07:01","...","78","63","2017-08-09 10:31","3.5","182","11.5","233","2017-08-09 14:21","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1006.3","...","1008.7","2017-08-10 08:40","1004.9","2017-08-10 02:27","28.6","32.5","2017-08-10 15:42","24.0","2017-08-10 09:35","...","84","62","2017-08-10 15:42","2.9","170","10.0","258","2017-08-10 07:20","62.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1007.6","...","1009.3","2017-08-11 08:51","1005.9","2017-08-11 16:41","29.4","32.1","2017-08-11 13:52","26.9","2017-08-11 05:04","...","83","73","2017-08-11 09:24","2.9","186","9.2","234","2017-08-11 12:20","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1008.5","...","1009.7","2017-08-12 08:53","1007.4","2017-08-12 16:43","29.5","32.4","2017-08-12 13:01","27.6","2017-08-12 06:04","...","83","65","2017-08-12 11:01","2.5","175","8.5","229","2017-08-12 14:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1008.5","...","1009.6","2017-08-13 11:11","1007.5","2017-08-13 14:41","29.4","32.2","2017-08-13 11:01","27.3","2017-08-13 04:02","...","82","64","2017-08-13 12:13","3.1","168","8.5","257","2017-08-13 11:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1008.2","...","1009.7","2017-08-14 09:37","1006.9","2017-08-14 17:04","29.4","32.0","2017-08-14 13:01","26.8","2017-08-14 05:42","...","79","66","2017-08-14 10:51","2.9","180","9.2","240","2017-08-14 11:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1007.6","...","1009.6","2017-08-15 09:07","1006.1","2017-08-15 16:41","29.4","32.3","2017-08-15 13:02","26.6","2017-08-15 05:20","...","79","66","2017-08-15 10:02","2.6","185","9.2","229","2017-08-15 15:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1007.6","...","1009.0","2017-08-16 22:21","1006.2","2017-08-16 16:21","29.6","32.8","2017-08-16 14:32","26.9","2017-08-16 04:12","...","78","60","2017-08-16 14:42","2.4","173","8.8","264","2017-08-16 13:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1008.8","...","1010.6","2017-08-17 22:58","1007.7","2017-08-17 15:54","30.1","36.7","2017-08-17 16:11","28.9","2017-08-17 20:38","...","74","47","2017-08-17 16:12","1.4","117","5.1","277","2017-08-17 16:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1009.9","...","1011.2","2017-08-18 09:52","1009.1","2017-08-18 03:22","30.0","34.1","2017-08-18 14:03","26.8","2017-08-18 23:51","...","77","57","2017-08-18 14:03","1.4","50","5.9","301","2017-08-18 13:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1009.2","...","1010.7","2017-08-19 08:13","1007.4","2017-08-19 17:06","29.7","34.1","2017-08-19 13:14","25.8","2017-08-19 05:38","...","75","52","2017-08-19 13:47","1.1","94","5.7","340","2017-08-19 13:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1006.0","...","1008.2","2017-08-20 00:01","1003.4","2017-08-20 16:35","30.1","35.0","2017-08-20 13:01","25.9","2017-08-20 04:11","...","74","52","2017-08-20 11:02","1.6","302","6.1","309","2017-08-20 10:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","999.8","...","1004.3","2017-08-21 00:01","995.5","2017-08-21 17:41","30.3","34.4","2017-08-21 12:21","27.2","2017-08-21 05:12","...","77","60","2017-08-21 10:58","3.5","6","15.0","18","2017-08-21 16:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","997.6","...","1003.1","2017-08-22 23:01","992.7","2017-08-22 03:12","29.4","33.6","2017-08-22 12:15","26.6","2017-08-22 23:51","...","82","64","2017-08-22 12:15","1.8","274","7.8","252","2017-08-22 14:48","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1006.0","...","1009.9","2017-08-23 23:01","1002.7","2017-08-23 00:01","28.4","35.1","2017-08-23 11:31","26.3","2017-08-23 05:23","...","87","60","2017-08-23 11:31","1.4","88","7.5","303","2017-08-23 13:08","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1009.5","...","1010.3","2017-08-24 10:56","1008.4","2017-08-24 14:09","28.6","33.3","2017-08-24 10:21","25.2","2017-08-24 23:15","...","83","62","2017-08-24 09:51","1.6","319","7.1","318","2017-08-24 13:32","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1007.5","...","1009.3","2017-08-25 00:01","1005.5","2017-08-25 17:25","28.8","33.2","2017-08-25 13:32","25.0","2017-08-25 03:11","...","83","67","2017-08-25 14:25","1.5","338","6.6","324","2017-08-25 13:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1006.6","...","1008.0","2017-08-26 21:43","1005.5","2017-08-26 17:27","29.6","34.4","2017-08-26 10:57","26.7","2017-08-26 05:41","...","83","59","2017-08-26 10:37","1.4","119","6.4","333","2017-08-26 14:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1010.1","...","1013.1","2017-08-27 23:19","1007.4","2017-08-27 00:01","28.9","34.0","2017-08-27 10:51","24.5","2017-08-27 20:06","...","81","63","2017-08-27 10:01","1.9","118","8.4","306","2017-08-27 13:29","4.5","...","...","","...","","...","...","...","...","...","...","","..."
"28","1009.5","...","1012.5","2017-08-28 00:01","1007.5","2017-08-28 16:18","28.9","33.3","2017-08-28 11:13","24.2","2017-08-28 03:02","...","81","59","2017-08-28 10:54","2.5","340","9.3","349","2017-08-28 13:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1006.8","...","1008.8","2017-08-29 00:01","1004.7","2017-08-29 15:52","30.4","34.9","2017-08-29 13:34","26.8","2017-08-29 05:12","...","79","57","2017-08-29 13:51","2.1","2","8.7","337","2017-08-29 14:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1004.7","...","1006.8","2017-08-30 00:01","1002.5","2017-08-30 14:26","30.5","34.2","2017-08-30 12:22","27.0","2017-08-30 05:41","...","75","60","2017-08-30 11:42","2.2","6","11.5","348","2017-08-30 13:57","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"31","1003.6","...","1005.2","2017-08-31 09:32","1001.9","2017-08-31 16:13","29.7","32.7","2017-08-31 14:41","27.6","2017-08-31 04:41","...","77","61","2017-08-31 14:41","1.3","15","7.0","8","2017-08-31 20:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
