"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1022.0","...","1024.2","2019-01-01 08:41","1019.8","2019-01-01 14:13","17.9","20.3","2019-01-01 11:01","16.4","2019-01-01 05:11","...","80","72","2019-01-01 10:22","4.0","20","11.7","13","2019-01-01 11:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1021.8","...","1023.8","2019-01-02 09:26","1019.5","2019-01-02 14:04","18.3","20.4","2019-01-02 12:41","16.8","2019-01-02 04:01","...","81","74","2019-01-02 12:41","3.1","17","8.8","30","2019-01-02 14:38","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"03","1022.0","...","1024.4","2019-01-03 09:33","1020.4","2019-01-03 14:43","18.9","21.0","2019-01-03 15:11","17.3","2019-01-03 23:51","...","90","82","2019-01-03 15:51","3.2","15","8.8","23","2019-01-03 18:00","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1021.1","...","1022.9","2019-01-04 09:11","1019.5","2019-01-04 14:23","19.0","24.2","2019-01-04 11:02","16.2","2019-01-04 04:11","...","93","71","2019-01-04 11:02","1.0","3","7.3","360","2019-01-04 14:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1019.2","...","...","","...","","20.1","...","","...","","...","91","...","","2.1","352","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1019.3","...","...","","...","","18.6","...","","...","","...","87","...","","4.2","17","...","...","","2.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1019.2","...","...","","...","","18.8","...","","...","","...","86","...","","2.2","22","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1019.4","...","...","","...","","18.7","...","","...","","...","98","...","","3.3","10","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1019.3","...","...","","...","","19.9","...","","...","","...","82","...","","3.7","11","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1018.7","...","1020.7","2019-01-10 08:52","1016.9","2019-01-10 14:04","18.8","19.7","2019-01-10 13:32","18.2","2019-01-10 09:04","...","95","88","2019-01-10 00:01","2.7","5","8.5","1","2019-01-10 00:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
