"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.7","...","1004.3","2017-06-01 09:21","1000.9","2017-06-01 18:52","27.4","30.6","2017-06-01 13:21","25.6","2017-06-01 02:11","...","88","71","2017-06-01 13:17","2.9","174","10.4","241","2017-06-01 13:17","10.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1002.3","...","1005.2","2017-06-02 21:15","1000.8","2017-06-02 02:31","27.2","30.0","2017-06-02 11:11","23.3","2017-06-02 23:53","...","90","80","2017-06-02 11:05","4.7","233","15.0","217","2017-06-02 19:49","21.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1002.7","...","1004.1","2017-06-03 08:33","1000.9","2017-06-03 17:31","25.8","29.4","2017-06-03 11:51","23.2","2017-06-03 00:17","...","96","88","2017-06-03 12:05","2.8","233","11.7","245","2017-06-03 17:03","61.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1005.0","...","1007.1","2017-06-04 21:41","1002.8","2017-06-04 01:12","26.5","31.2","2017-06-04 11:02","24.8","2017-06-04 04:51","...","91","76","2017-06-04 11:07","1.5","171","7.0","192","2017-06-04 02:19","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1007.5","...","1009.6","2017-06-05 22:51","1006.1","2017-06-05 02:02","27.3","30.8","2017-06-05 12:32","24.5","2017-06-05 05:14","...","89","75","2017-06-05 12:52","1.2","287","5.2","255","2017-06-05 08:53","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1009.3","...","1010.3","2017-06-06 07:42","1008.0","2017-06-06 15:29","28.6","32.3","2017-06-06 10:05","25.8","2017-06-06 02:43","...","84","69","2017-06-06 10:05","2.1","239","9.4","237","2017-06-06 13:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1009.7","...","1011.0","2017-06-07 22:22","1008.1","2017-06-07 14:31","29.1","33.3","2017-06-07 12:34","25.5","2017-06-07 03:01","...","80","62","2017-06-07 12:27","1.8","342","7.1","294","2017-06-07 14:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1009.9","...","1011.6","2017-06-08 09:45","1008.2","2017-06-08 16:01","28.7","33.0","2017-06-08 13:52","25.5","2017-06-08 05:11","...","83","63","2017-06-08 12:23","1.8","337","6.4","342","2017-06-08 15:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1009.3","...","1010.3","2017-06-09 09:39","1008.1","2017-06-09 15:51","28.9","32.5","2017-06-09 10:25","25.8","2017-06-09 04:54","...","82","68","2017-06-09 09:03","1.4","24","7.0","1","2017-06-09 13:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1008.1","...","1010.0","2017-06-10 00:01","1006.6","2017-06-10 16:08","29.6","32.8","2017-06-10 12:21","26.4","2017-06-10 03:28","...","81","67","2017-06-10 13:06","2.5","248","11.1","224","2017-06-10 15:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
