"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1014.3","...","1016.2","2017-11-01 00:01","1012.8","2017-11-01 14:03","22.7","28.5","2017-11-01 14:01","17.0","2017-11-01 02:45","...","78","54","2017-11-01 10:21","2.2","353","8.1","14","2017-11-01 12:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1012.0","...","1013.7","2017-11-02 00:01","1010.2","2017-11-02 14:51","24.0","27.9","2017-11-02 09:41","20.4","2017-11-02 04:16","...","86","71","2017-11-02 09:54","3.7","7","13.0","360","2017-11-02 13:26","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"03","1013.3","...","1015.3","2017-11-03 21:41","1011.6","2017-11-03 03:34","23.6","26.1","2017-11-03 12:12","22.4","2017-11-03 22:44","...","81","66","2017-11-03 13:31","5.8","26","14.8","47","2017-11-03 12:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1014.9","...","1016.7","2017-11-04 22:46","1013.2","2017-11-04 01:39","21.9","24.8","2017-11-04 12:52","19.3","2017-11-04 20:52","...","66","56","2017-11-04 14:32","8.0","25","19.1","18","2017-11-04 12:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1015.1","...","1016.9","2017-11-05 08:41","1013.7","2017-11-05 13:57","22.0","26.8","2017-11-05 11:42","19.0","2017-11-05 04:01","...","72","60","2017-11-05 11:42","3.9","14","12.5","23","2017-11-05 12:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1014.1","...","1015.9","2017-11-06 09:01","1012.9","2017-11-06 14:37","23.5","27.9","2017-11-06 11:04","20.2","2017-11-06 05:33","...","84","63","2017-11-06 11:11","2.3","2","9.0","6","2017-11-06 15:03","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1014.1","...","1015.3","2017-11-07 08:42","1012.9","2017-11-07 03:57","24.7","28.5","2017-11-07 11:11","22.6","2017-11-07 06:25","...","88","69","2017-11-07 10:43","2.1","26","9.7","24","2017-11-07 21:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1013.4","...","1015.0","2017-11-08 09:12","1012.1","2017-11-08 14:18","24.3","27.9","2017-11-08 09:41","22.3","2017-11-08 23:31","...","80","65","2017-11-08 09:32","5.0","23","14.2","23","2017-11-08 15:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1012.7","...","1014.3","2017-11-09 09:14","1011.5","2017-11-09 15:12","24.6","29.2","2017-11-09 12:11","22.3","2017-11-09 00:31","...","79","63","2017-11-09 12:03","3.7","13","10.8","360","2017-11-09 13:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1013.0","...","1014.5","2017-11-10 09:43","1011.8","2017-11-10 15:01","24.3","27.5","2017-11-10 09:55","22.7","2017-11-10 02:01","...","89","75","2017-11-10 10:22","2.6","2","9.3","354","2017-11-10 14:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1012.6","...","1013.7","2017-11-11 09:01","1011.6","2017-11-11 02:31","23.1","24.8","2017-11-11 09:31","21.4","2017-11-11 23:43","...","83","75","2017-11-11 09:33","4.2","15","11.3","22","2017-11-11 07:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1012.0","...","1013.7","2017-11-12 08:54","1010.3","2017-11-12 15:21","22.2","24.7","2017-11-12 13:03","20.6","2017-11-12 01:42","...","85","78","2017-11-12 13:12","3.4","17","10.9","5","2017-11-12 16:02","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"13","1011.2","...","1012.5","2017-11-13 09:11","1009.7","2017-11-13 15:02","22.9","24.5","2017-11-13 13:01","21.6","2017-11-13 06:42","...","90","84","2017-11-13 16:23","3.6","13","12.6","3","2017-11-13 10:09","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1012.3","...","1014.0","2017-11-14 09:21","1010.9","2017-11-14 14:51","23.8","27.5","2017-11-14 12:01","22.0","2017-11-14 23:14","...","87","73","2017-11-14 12:03","3.6","15","11.2","360","2017-11-14 16:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1013.7","...","1015.4","2017-11-15 10:43","1012.5","2017-11-15 16:11","23.8","27.6","2017-11-15 12:12","21.0","2017-11-15 06:02","...","80","65","2017-11-15 15:15","3.2","15","11.6","19","2017-11-15 14:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1013.0","...","1015.4","2017-11-16 09:04","1011.2","2017-11-16 13:59","24.0","29.0","2017-11-16 11:53","21.0","2017-11-16 06:19","...","84","67","2017-11-16 11:41","2.1","7","8.9","12","2017-11-16 16:26","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1010.1","...","1012.5","2017-11-17 09:24","1007.8","2017-11-17 14:16","24.7","31.1","2017-11-17 13:05","22.6","2017-11-17 05:51","...","86","55","2017-11-17 14:01","1.3","354","5.4","341","2017-11-17 16:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1010.5","...","1014.0","2017-11-18 23:55","1008.2","2017-11-18 04:51","22.6","27.5","2017-11-18 09:11","18.6","2017-11-18 23:16","...","80","68","2017-11-18 11:11","5.4","22","17.8","46","2017-11-18 15:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1014.9","...","1016.9","2017-11-19 23:21","1013.2","2017-11-19 14:16","19.9","24.1","2017-11-19 13:33","17.6","2017-11-19 04:49","...","74","61","2017-11-19 13:33","4.2","13","14.5","19","2017-11-19 00:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1015.8","...","1017.3","2017-11-20 09:22","1013.8","2017-11-20 14:13","20.7","24.0","2017-11-20 09:53","18.8","2017-11-20 02:31","...","81","70","2017-11-20 12:43","4.9","24","13.5","10","2017-11-20 10:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1014.3","...","1016.6","2017-11-21 00:12","1012.2","2017-11-21 14:22","21.8","26.2","2017-11-21 12:21","19.2","2017-11-21 04:13","...","83","66","2017-11-21 12:31","3.4","14","10.4","2","2017-11-21 11:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1013.4","...","1015.6","2017-11-22 08:42","1011.0","2017-11-22 13:31","21.1","24.7","2017-11-22 11:02","18.2","2017-11-22 23:42","...","84","72","2017-11-22 11:02","5.1","13","15.0","9","2017-11-22 22:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1016.3","...","1018.2","2017-11-23 09:22","1014.5","2017-11-23 01:36","18.4","22.1","2017-11-23 11:22","16.5","2017-11-23 19:43","...","71","58","2017-11-23 11:43","7.2","24","19.2","12","2017-11-23 09:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1018.7","...","1021.3","2017-11-24 09:16","1017.2","2017-11-24 02:05","18.9","21.4","2017-11-24 09:37","17.3","2017-11-24 00:14","...","69","58","2017-11-24 09:37","5.0","25","14.6","13","2017-11-24 10:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1019.0","...","1020.7","2017-11-25 09:12","1017.0","2017-11-25 14:19","19.9","22.5","2017-11-25 10:57","17.9","2017-11-25 00:03","...","82","71","2017-11-25 10:57","4.3","17","13.4","21","2017-11-25 12:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1018.0","...","1020.3","2017-11-26 09:43","1016.3","2017-11-26 15:13","21.5","25.3","2017-11-26 12:51","19.9","2017-11-26 23:22","...","83","70","2017-11-26 12:51","4.4","23","13.2","8","2017-11-26 14:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1015.1","...","1017.3","2017-11-27 09:03","1012.9","2017-11-27 15:03","22.2","25.9","2017-11-27 10:32","19.7","2017-11-27 02:33","...","80","67","2017-11-27 10:41","4.3","12","12.6","13","2017-11-27 13:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
