"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.2","...","1005.5","2018-09-01 00:16","1001.2","2018-09-01 15:51","27.8","31.2","2018-09-01 14:19","25.1","2018-09-01 06:03","...","75","60","2018-09-01 16:27","1.5","214","6.3","263","2018-09-01 12:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1000.3","...","1002.7","2018-09-02 00:05","998.4","2018-09-02 15:55","27.8","31.1","2018-09-02 15:19","24.8","2018-09-02 06:00","...","74","54","2018-09-02 15:19","1.9","191","7.6","245","2018-09-02 11:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","998.1","...","999.9","2018-09-03 00:15","996.4","2018-09-03 17:52","27.9","31.3","2018-09-03 12:51","24.7","2018-09-03 03:46","...","74","57","2018-09-03 09:39","3.2","251","12.7","248","2018-09-03 14:16","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","997.1","...","998.8","2018-09-04 21:42","995.4","2018-09-04 14:56","28.8","33.2","2018-09-04 11:11","26.6","2018-09-04 05:33","...","73","52","2018-09-04 10:49","3.6","232","12.6","232","2018-09-04 04:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","998.5","...","999.7","2018-09-05 22:38","997.1","2018-09-05 17:37","28.8","31.8","2018-09-05 12:11","26.9","2018-09-05 04:55","...","78","65","2018-09-05 12:31","1.3","281","6.2","273","2018-09-05 12:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","998.8","...","1000.0","2018-09-06 22:54","997.0","2018-09-06 15:45","28.0","32.0","2018-09-06 09:35","25.7","2018-09-06 23:23","...","80","60","2018-09-06 15:20","1.4","277","6.0","266","2018-09-06 14:31","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","999.4","...","1001.3","2018-09-07 23:55","997.6","2018-09-07 14:54","27.3","31.8","2018-09-07 11:58","24.8","2018-09-07 17:42","...","82","61","2018-09-07 12:22","1.6","88","7.1","106","2018-09-07 16:53","21.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1001.3","...","1002.9","2018-09-08 09:59","999.7","2018-09-08 03:50","25.2","27.4","2018-09-08 13:09","23.6","2018-09-08 01:05","...","89","80","2018-09-08 12:11","1.7","12","8.7","49","2018-09-08 18:58","33.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1003.1","...","1006.0","2018-09-09 22:43","1001.4","2018-09-09 03:41","23.6","24.7","2018-09-09 09:27","22.4","2018-09-09 18:34","...","90","79","2018-09-09 23:56","3.1","27","12.3","40","2018-09-09 12:21","13.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1001.8","...","1005.5","2018-09-10 00:02","999.1","2018-09-10 23:55","25.5","28.2","2018-09-10 13:37","22.3","2018-09-10 03:09","...","77","67","2018-09-10 13:30","4.1","56","15.9","27","2018-09-10 14:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1000.5","...","1002.5","2018-09-11 21:12","997.9","2018-09-11 03:22","27.4","31.1","2018-09-11 13:19","23.9","2018-09-11 03:58","...","79","63","2018-09-11 14:45","1.5","185","6.7","72","2018-09-11 09:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1002.1","...","1003.4","2018-09-12 07:14","1000.6","2018-09-12 17:11","27.2","29.5","2018-09-12 13:45","25.2","2018-09-12 07:16","...","85","71","2018-09-12 13:51","1.5","325","5.8","349","2018-09-12 16:54","10.5","...","...","","...","","...","...","...","...","...","...","","..."
