"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1005.5","...","1008.0","2018-03-01 09:52","1003.1","2018-03-01 15:58","20.4","26.5","2018-03-01 16:00","15.0","2018-03-01 06:22","...","79","60","2018-03-01 15:23","1.3","123","5.0","2","2018-03-01 11:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1005.6","...","1008.1","2018-03-02 09:10","1004.0","2018-03-02 15:20","19.3","22.3","2018-03-02 14:18","17.5","2018-03-02 22:35","...","86","70","2018-03-02 14:18","1.2","295","5.7","237","2018-03-02 10:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1004.4","...","1006.3","2018-03-03 09:40","1002.3","2018-03-03 14:44","20.0","25.3","2018-03-03 15:35","16.2","2018-03-03 09:05","...","87","70","2018-03-03 15:36","1.3","21","6.3","260","2018-03-03 12:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1005.0","...","1006.8","2018-03-04 09:54","1001.3","2018-03-04 21:58","22.7","25.8","2018-03-04 13:11","20.3","2018-03-04 06:11","...","84","71","2018-03-04 12:58","1.1","13","6.2","141","2018-03-04 21:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1006.8","...","1011.9","2018-03-05 23:51","1004.0","2018-03-05 03:58","21.3","28.6","2018-03-05 12:22","14.6","2018-03-05 23:47","...","88","70","2018-03-05 12:18","2.4","37","12.2","29","2018-03-05 23:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1012.1","...","1014.6","2018-03-06 10:16","1009.9","2018-03-06 02:30","16.1","17.6","2018-03-06 16:54","14.5","2018-03-06 03:49","...","81","76","2018-03-06 10:11","3.3","25","12.7","31","2018-03-06 00:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1010.0","...","1012.5","2018-03-07 00:16","1006.9","2018-03-07 14:56","17.7","22.9","2018-03-07 13:00","15.1","2018-03-07 21:19","...","80","64","2018-03-07 11:57","1.8","18","8.9","329","2018-03-07 16:09","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1013.5","...","1017.5","2018-03-08 21:11","1009.0","2018-03-08 02:48","12.5","16.0","2018-03-08 00:09","10.4","2018-03-08 20:30","...","85","71","2018-03-08 16:16","2.7","36","10.2","68","2018-03-08 14:19","17.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1015.2","...","1017.2","2018-03-09 10:44","1013.1","2018-03-09 15:19","12.5","14.6","2018-03-09 13:42","10.7","2018-03-10 00:00","...","60","45","2018-03-09 13:19","3.5","35","14.8","34","2018-03-09 12:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1014.7","...","1016.4","2018-03-10 08:09","1012.6","2018-03-10 15:44","15.5","20.2","2018-03-10 12:22","11.9","2018-03-10 01:13","...","55","38","2018-03-10 11:50","2.4","60","9.7","27","2018-03-10 13:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1014.0","...","1015.9","2018-03-11 08:44","1012.7","2018-03-11 14:59","17.0","23.7","2018-03-11 13:47","11.1","2018-03-11 04:38","...","52","22","2018-03-11 14:50","1.0","31","6.5","309","2018-03-11 12:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1012.0","...","1013.9","2018-03-12 09:28","1010.1","2018-03-12 15:55","17.3","22.0","2018-03-12 14:46","12.0","2018-03-12 06:15","...","68","46","2018-03-12 10:18","1.0","17","6.3","302","2018-03-12 12:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1010.4","...","1012.3","2018-03-13 08:52","1008.8","2018-03-13 17:14","18.2","22.5","2018-03-13 13:21","13.8","2018-03-13 05:12","...","76","61","2018-03-13 13:21","0.8","5","5.1","327","2018-03-13 13:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1008.7","...","1011.0","2018-03-14 08:38","1006.9","2018-03-14 20:15","20.3","25.5","2018-03-14 13:25","16.2","2018-03-14 06:32","...","75","50","2018-03-14 11:02","0.9","328","6.8","128","2018-03-14 19:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1007.4","...","1009.1","2018-03-15 20:00","1006.2","2018-03-15 05:28","19.9","24.7","2018-03-15 11:17","17.6","2018-03-15 06:42","...","79","55","2018-03-15 12:03","1.0","1","9.2","8","2018-03-15 15:44","5.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1008.8","...","1012.4","2018-03-16 21:22","1004.2","2018-03-16 03:13","19.6","24.6","2018-03-16 12:06","17.1","2018-03-16 23:43","...","81","63","2018-03-16 12:03","2.0","1","10.1","28","2018-03-16 16:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
