"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.6","...","1013.6","2017-03-01 09:22","1009.4","2017-03-01 15:45","16.0","18.6","2017-03-01 16:12","13.5","2017-03-01 06:12","...","75","55","2017-03-01 16:54","1.5","11","6.5","17","2017-03-01 10:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1012.5","...","1014.5","2017-03-02 11:14","1010.8","2017-03-02 05:15","14.7","17.0","2017-03-02 11:47","12.4","2017-03-02 23:08","...","59","48","2017-03-02 15:59","3.6","25","15.8","360","2017-03-02 10:26","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1009.8","...","1012.4","2017-03-03 00:02","1007.9","2017-03-03 18:27","16.1","20.4","2017-03-03 11:56","12.0","2017-03-03 06:04","...","64","48","2017-03-03 11:58","1.5","25","7.6","333","2017-03-03 12:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1007.8","...","1009.6","2017-03-04 06:55","1006.1","2017-03-04 14:42","17.6","20.3","2017-03-04 13:05","15.1","2017-03-04 06:43","...","79","67","2017-03-04 09:24","1.1","88","4.6","328","2017-03-04 15:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1005.3","...","1007.7","2017-03-05 09:35","1003.1","2017-03-05 18:26","19.7","23.8","2017-03-05 12:42","15.9","2017-03-05 05:07","...","78","63","2017-03-05 12:48","1.1","50","7.6","297","2017-03-05 14:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1008.3","...","1010.6","2017-03-06 10:01","1003.8","2017-03-06 00:34","14.8","20.5","2017-03-06 00:07","13.6","2017-03-06 15:59","...","83","73","2017-03-06 23:05","2.8","41","12.2","38","2017-03-06 10:45","18.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","1010.7","...","1012.4","2017-03-07 09:44","1009.0","2017-03-07 02:59","13.2","14.9","2017-03-07 11:51","11.2","2017-03-07 18:34","...","74","60","2017-03-07 11:45","2.4","42","9.3","43","2017-03-07 05:59","11.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1010.8","...","1012.3","2017-03-08 11:15","1009.0","2017-03-08 15:53","14.0","15.0","2017-03-08 14:25","12.1","2017-03-09 00:00","...","72","62","2017-03-08 17:49","2.3","42","9.2","21","2017-03-08 18:33","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1008.8","...","1010.4","2017-03-09 00:11","1006.8","2017-03-09 16:23","15.9","17.8","2017-03-09 12:42","14.2","2017-03-09 05:08","...","76","68","2017-03-09 12:18","1.8","81","6.9","88","2017-03-09 17:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1006.2","...","1009.6","2017-03-10 22:34","1003.5","2017-03-10 15:34","16.6","19.4","2017-03-10 13:20","15.3","2017-03-10 21:28","...","90","80","2017-03-10 12:44","1.8","78","9.3","339","2017-03-10 21:34","28.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1007.9","...","1010.2","2017-03-11 21:42","1005.8","2017-03-11 01:53","18.7","23.1","2017-03-11 11:30","15.8","2017-03-11 06:44","...","85","67","2017-03-11 11:33","1.9","5","8.5","324","2017-03-11 11:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1006.9","...","1009.2","2017-03-12 08:49","1004.6","2017-03-12 17:07","19.2","22.0","2017-03-12 13:29","17.8","2017-03-12 02:54","...","88","76","2017-03-12 12:53","1.1","353","4.5","298","2017-03-12 15:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1005.6","...","1009.7","2017-03-13 23:53","1002.7","2017-03-13 14:29","18.6","23.7","2017-03-13 09:24","14.4","2017-03-14 00:00","...","87","77","2017-03-13 09:25","1.8","39","8.7","39","2017-03-13 21:52","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"14","1012.1","...","1014.2","2017-03-14 21:05","1008.3","2017-03-14 03:21","13.2","14.6","2017-03-15 00:00","12.2","2017-03-14 06:58","...","77","64","2017-03-14 18:43","3.4","50","12.4","16","2017-03-14 14:11","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1011.8","...","1014.8","2017-03-15 09:58","1009.3","2017-03-15 21:11","15.0","17.0","2017-03-15 13:50","13.4","2017-03-15 00:55","...","67","58","2017-03-15 13:16","2.6","32","11.0","8","2017-03-15 08:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1010.6","...","1012.8","2017-03-16 23:42","1009.0","2017-03-16 01:37","14.9","17.1","2017-03-16 12:36","13.5","2017-03-16 03:07","...","90","74","2017-03-16 00:01","1.6","39","6.4","45","2017-03-16 15:43","26.0","...","...","","...","","...","...","...","...","...","...","","..."
