"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.0","...","1013.8","2017-12-01 09:37","1007.4","2017-12-01 14:00","19.0","20.5","2017-12-01 10:50","18.0","2017-12-01 04:04","...","79","70","2017-12-01 10:53","4.3","32","18.2","45","2017-12-01 11:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1010.3","...","1013.1","2017-12-02 09:08","1008.1","2017-12-02 13:28","19.7","21.5","2017-12-02 13:37","18.1","2017-12-02 06:56","...","79","70","2017-12-02 13:27","3.1","37","13.2","24","2017-12-02 00:11","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"03","1009.8","...","1012.1","2017-12-03 09:43","1007.3","2017-12-03 15:23","19.5","21.2","2017-12-03 16:08","18.8","2017-12-03 01:23","...","82","72","2017-12-03 16:22","2.9","30","12.3","25","2017-12-03 12:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1011.6","...","1013.7","2017-12-04 09:50","1009.8","2017-12-04 15:01","18.5","19.8","2017-12-04 11:43","17.3","2017-12-04 23:57","...","70","59","2017-12-04 23:53","3.3","30","14.3","24","2017-12-04 13:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1013.4","...","1016.8","2017-12-05 08:31","1009.7","2017-12-05 23:45","16.1","17.6","2017-12-05 00:27","14.9","2017-12-05 21:41","...","63","56","2017-12-05 04:51","3.6","46","12.7","53","2017-12-05 20:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1011.5","...","1013.0","2017-12-06 19:31","1008.8","2017-12-06 02:30","16.0","18.1","2017-12-06 10:58","15.1","2017-12-06 06:29","...","70","59","2017-12-06 01:27","2.3","35","14.0","43","2017-12-06 03:52","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","1010.6","...","1012.9","2017-12-07 23:45","1008.8","2017-12-07 15:58","16.3","18.3","2017-12-07 11:21","15.1","2017-12-07 23:59","...","88","81","2017-12-07 11:21","2.1","26","10.4","68","2017-12-07 19:39","5.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1014.5","...","1016.9","2017-12-08 08:16","1012.3","2017-12-08 14:17","13.8","15.2","2017-12-09 00:00","12.9","2017-12-08 22:56","...","70","57","2017-12-08 20:18","3.5","35","14.3","10","2017-12-08 10:55","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1011.0","...","1013.3","2017-12-09 00:10","1009.2","2017-12-09 19:15","13.8","15.5","2017-12-09 17:21","12.8","2017-12-09 05:32","...","85","69","2017-12-09 00:43","1.7","42","12.1","63","2017-12-09 04:27","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1010.4","...","1011.9","2017-12-10 23:08","1009.0","2017-12-10 14:10","16.0","19.8","2017-12-10 14:48","11.3","2017-12-10 06:52","...","81","69","2017-12-10 23:58","1.9","2","10.7","25","2017-12-10 22:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1011.0","...","1013.1","2017-12-11 08:46","1008.6","2017-12-11 15:36","17.2","19.1","2017-12-11 12:00","15.9","2017-12-11 06:58","...","62","55","2017-12-11 12:01","3.6","38","15.4","70","2017-12-11 16:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
