"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","996.7","...","997.8","2018-07-01 07:00","995.0","2018-07-01 17:07","28.9","32.2","2018-07-01 11:03","24.9","2018-07-01 00:33","...","73","61","2018-07-01 11:04","3.2","239","10.9","243","2018-07-01 22:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","995.2","...","996.1","2018-07-02 22:29","993.6","2018-07-02 16:55","29.6","31.6","2018-07-02 15:55","27.9","2018-07-02 07:34","...","63","55","2018-07-02 18:05","4.9","234","13.4","245","2018-07-02 16:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","994.7","...","996.5","2018-07-03 10:25","993.6","2018-07-03 16:59","29.9","31.7","2018-07-03 15:27","27.8","2018-07-03 05:17","...","64","58","2018-07-03 08:56","6.4","240","16.1","237","2018-07-03 21:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","994.5","...","996.7","2018-07-04 09:47","993.0","2018-07-04 14:49","29.7","32.5","2018-07-04 13:51","26.4","2018-07-04 09:57","...","63","51","2018-07-04 20:11","6.3","229","16.8","237","2018-07-04 14:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","994.6","...","996.2","2018-07-05 10:04","993.2","2018-07-05 16:12","29.2","30.5","2018-07-05 13:46","28.2","2018-07-05 06:51","...","66","57","2018-07-05 19:39","5.9","233","15.9","245","2018-07-05 13:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","995.4","...","997.4","2018-07-06 22:34","994.1","2018-07-06 15:00","29.9","33.6","2018-07-06 12:01","28.0","2018-07-06 23:21","...","67","49","2018-07-06 12:52","4.4","232","15.3","248","2018-07-06 14:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","997.6","...","999.8","2018-07-07 21:42","996.3","2018-07-07 13:23","27.7","31.9","2018-07-07 10:30","25.1","2018-07-07 20:33","...","76","59","2018-07-07 08:54","2.1","40","10.4","244","2018-07-07 12:43","7.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","999.3","...","1001.0","2018-07-08 22:20","998.1","2018-07-08 04:10","28.8","32.6","2018-07-08 13:28","24.4","2018-07-08 05:39","...","70","52","2018-07-08 09:31","1.4","4","6.7","303","2018-07-08 12:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","999.4","...","1001.6","2018-07-09 08:19","996.8","2018-07-09 18:03","29.4","33.0","2018-07-09 12:23","26.8","2018-07-09 05:56","...","69","55","2018-07-09 11:23","2.0","74","7.2","305","2018-07-09 15:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","996.2","...","999.2","2018-07-10 00:19","989.7","2018-07-10 23:59","27.5","30.6","2018-07-10 09:48","25.1","2018-07-10 05:38","...","77","62","2018-07-10 09:02","3.3","1","11.8","328","2018-07-10 23:25","19.5","...","...","","...","","...","...","...","...","...","...","","..."
"11","992.4","...","999.1","2018-07-11 22:55","986.1","2018-07-11 05:03","27.2","29.6","2018-07-11 14:35","24.5","2018-07-11 05:01","...","82","68","2018-07-11 14:29","3.3","102","15.5","291","2018-07-11 02:35","34.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","999.1","...","1000.4","2018-07-12 23:00","997.7","2018-07-12 16:56","28.1","30.3","2018-07-12 12:28","26.4","2018-07-12 06:03","...","80","66","2018-07-12 10:59","1.7","9","7.0","324","2018-07-12 11:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","999.4","...","1000.2","2018-07-13 22:49","998.3","2018-07-13 16:00","28.7","32.6","2018-07-13 15:50","25.5","2018-07-13 04:14","...","77","61","2018-07-13 15:50","1.2","40","6.4","294","2018-07-13 13:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","998.6","...","999.5","2018-07-14 08:40","997.0","2018-07-14 16:46","29.0","32.7","2018-07-14 12:21","25.7","2018-07-14 05:28","...","72","57","2018-07-14 17:08","1.6","132","7.2","271","2018-07-14 13:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","998.3","...","999.9","2018-07-15 09:18","997.3","2018-07-15 20:48","28.8","32.6","2018-07-15 13:56","25.9","2018-07-15 05:36","...","70","52","2018-07-15 13:48","1.5","245","5.5","323","2018-07-15 10:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","996.1","...","998.5","2018-07-16 07:17","994.1","2018-07-16 16:24","29.6","34.5","2018-07-16 13:40","25.8","2018-07-16 06:01","...","65","50","2018-07-16 12:41","1.7","75","7.0","293","2018-07-16 13:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","995.0","...","996.0","2018-07-17 08:00","993.8","2018-07-17 17:05","30.6","34.2","2018-07-17 10:04","26.8","2018-07-17 05:43","...","64","52","2018-07-17 11:05","1.6","285","6.5","259","2018-07-17 12:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","996.6","...","997.9","2018-07-18 22:07","994.6","2018-07-18 16:45","30.6","35.3","2018-07-18 15:24","26.9","2018-07-18 06:22","...","62","49","2018-07-18 15:15","2.2","87","8.2","72","2018-07-18 17:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","997.8","...","999.4","2018-07-19 07:04","995.5","2018-07-19 16:11","30.6","34.8","2018-07-19 16:06","27.4","2018-07-19 04:30","...","62","48","2018-07-19 16:07","2.0","27","8.0","3","2018-07-19 16:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","996.4","...","998.4","2018-07-20 08:18","994.8","2018-07-20 15:56","29.1","32.3","2018-07-20 11:46","27.2","2018-07-20 05:35","...","68","53","2018-07-20 15:04","2.4","26","11.2","356","2018-07-20 14:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","994.0","...","995.8","2018-07-21 00:10","992.5","2018-07-21 16:11","27.6","30.9","2018-07-21 13:27","25.5","2018-07-21 09:03","...","77","65","2018-07-21 14:14","1.6","43","9.5","6","2018-07-21 14:37","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"22","994.1","...","996.2","2018-07-22 22:04","992.7","2018-07-22 01:33","27.8","32.0","2018-07-22 11:09","25.2","2018-07-22 02:51","...","80","58","2018-07-22 09:13","1.3","175","6.8","1","2018-07-22 13:22","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","996.1","...","999.2","2018-07-23 22:15","995.4","2018-07-23 15:41","28.3","31.3","2018-07-23 15:44","-11.5","2018-07-23 15:41","...","77","28","2018-07-23 15:41","2.6","235","7.0","276","2018-07-23 16:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","999.3","...","1000.7","2018-07-24 21:41","998.2","2018-07-24 01:16","28.5","32.0","2018-07-24 13:58","26.5","2018-07-24 23:09","...","77","63","2018-07-24 13:57","1.6","92","8.2","266","2018-07-24 13:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","999.9","...","1001.3","2018-07-25 08:23","998.2","2018-07-25 16:23","29.0","33.1","2018-07-25 10:47","25.4","2018-07-25 05:04","...","72","55","2018-07-25 10:16","1.4","326","6.2","310","2018-07-25 13:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","999.7","...","1001.2","2018-07-26 09:14","997.7","2018-07-26 16:18","29.4","32.7","2018-07-26 11:38","26.9","2018-07-26 05:25","...","74","56","2018-07-26 12:50","1.5","285","6.5","299","2018-07-26 13:26","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","999.8","...","1001.4","2018-07-27 22:08","998.1","2018-07-27 17:29","28.6","32.7","2018-07-27 12:14","26.6","2018-07-27 16:43","...","75","59","2018-07-27 12:16","1.7","177","7.8","84","2018-07-27 15:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","999.4","...","1000.9","2018-07-28 00:27","997.2","2018-07-28 16:54","29.0","32.3","2018-07-28 11:55","25.7","2018-07-28 06:03","...","74","60","2018-07-28 11:41","1.6","70","7.0","299","2018-07-28 12:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","998.2","...","999.9","2018-07-29 00:04","996.2","2018-07-29 16:46","29.5","33.4","2018-07-29 13:37","25.9","2018-07-29 05:05","...","70","47","2018-07-29 13:36","2.2","277","6.9","264","2018-07-29 12:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","997.9","...","999.1","2018-07-30 00:01","996.1","2018-07-30 16:24","29.4","33.1","2018-07-30 13:26","26.8","2018-07-30 05:32","...","73","57","2018-07-30 12:34","2.8","273","9.9","253","2018-07-30 14:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"31","997.5","...","998.8","2018-07-31 10:12","995.4","2018-07-31 16:53","29.5","32.7","2018-07-31 12:42","26.3","2018-07-31 05:46","...","73","55","2018-07-31 15:00","3.0","173","10.8","251","2018-07-31 11:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
