"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.1","...","1017.6","2017-02-01 20:51","1013.0","2017-02-01 02:10","16.5","18.1","2017-02-01 11:08","14.2","2017-02-01 23:23","...","77","70","2017-02-01 17:13","3.8","23","15.5","25","2017-02-01 20:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1015.6","...","1018.5","2017-02-02 09:31","1012.6","2017-02-02 14:45","15.5","17.7","2017-02-02 13:10","14.2","2017-02-02 00:01","...","70","60","2017-02-02 13:36","4.0","28","16.0","52","2017-02-02 13:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1012.3","...","1014.9","2017-02-03 09:20","1009.4","2017-02-03 15:10","17.8","22.3","2017-02-03 14:12","14.7","2017-02-03 01:54","...","76","61","2017-02-03 11:16","1.4","80","7.8","334","2017-02-03 12:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1008.8","...","1011.9","2017-02-04 00:07","1005.9","2017-02-04 16:13","17.7","20.2","2017-02-04 13:49","16.5","2017-02-04 23:21","...","84","72","2017-02-04 15:47","1.3","268","4.5","262","2017-02-04 13:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1007.3","...","1009.8","2017-02-05 08:59","1005.0","2017-02-05 17:39","17.8","21.9","2017-02-05 12:38","16.5","2017-02-05 00:17","...","81","60","2017-02-05 12:36","2.7","31","14.7","6","2017-02-05 21:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1008.9","...","1011.4","2017-02-06 09:40","1006.2","2017-02-06 01:32","17.5","20.4","2017-02-06 13:23","15.9","2017-02-06 22:48","...","62","50","2017-02-06 13:23","4.1","32","17.1","56","2017-02-06 19:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1009.8","...","1012.1","2017-02-07 09:49","1008.0","2017-02-07 14:35","17.3","20.5","2017-02-07 13:48","15.3","2017-02-07 23:22","...","61","51","2017-02-07 13:49","2.7","43","11.9","10","2017-02-07 13:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1009.6","...","1012.8","2017-02-08 23:46","1008.1","2017-02-08 01:27","15.5","19.1","2017-02-08 12:10","13.1","2017-02-08 23:59","...","83","71","2017-02-08 12:11","1.5","1","9.8","1","2017-02-08 22:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1014.0","...","1016.1","2017-02-09 10:03","1011.7","2017-02-09 03:11","10.5","13.3","2017-02-09 00:03","9.5","2017-02-09 21:57","...","71","58","2017-02-09 19:45","3.4","45","12.5","11","2017-02-09 14:39","2.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1016.2","...","1018.5","2017-02-10 23:53","1012.6","2017-02-10 04:11","10.5","11.6","2017-02-10 13:40","9.3","2017-02-10 06:57","...","56","50","2017-02-10 10:17","4.1","42","14.4","28","2017-02-10 10:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1018.8","...","1021.1","2017-02-11 10:17","1016.3","2017-02-11 01:17","11.7","14.1","2017-02-11 14:07","10.7","2017-02-11 07:23","...","53","45","2017-02-11 14:01","3.9","40","15.5","46","2017-02-11 10:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1018.6","...","1020.5","2017-02-12 08:59","1016.5","2017-02-12 15:36","14.1","17.3","2017-02-12 14:22","11.4","2017-02-12 04:36","...","58","48","2017-02-12 13:24","3.1","38","12.2","29","2017-02-12 09:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1019.6","...","1021.4","2017-02-13 22:30","1017.9","2017-02-13 13:03","16.3","20.5","2017-02-13 12:32","14.0","2017-02-13 05:00","...","59","45","2017-02-13 12:56","2.9","45","12.2","59","2017-02-13 15:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1020.9","...","1023.1","2017-02-14 09:27","1019.1","2017-02-14 14:54","16.8","21.4","2017-02-14 13:15","14.6","2017-02-14 23:56","...","54","39","2017-02-14 13:16","2.8","48","10.6","12","2017-02-14 14:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1018.5","...","1020.8","2017-02-15 08:46","1016.2","2017-02-15 23:59","16.4","21.0","2017-02-15 12:58","12.0","2017-02-15 06:10","...","70","50","2017-02-15 12:58","1.2","62","6.1","259","2017-02-15 12:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1014.7","...","1016.5","2017-02-16 09:24","1012.7","2017-02-16 16:06","17.4","22.2","2017-02-16 16:20","14.0","2017-02-16 00:41","...","68","33","2017-02-16 15:51","1.5","176","5.2","291","2017-02-16 13:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1014.3","...","1016.0","2017-02-17 08:33","1012.7","2017-02-17 15:19","19.3","24.7","2017-02-17 11:42","14.1","2017-02-17 06:31","...","64","42","2017-02-17 11:18","1.4","88","5.8","268","2017-02-17 14:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1015.2","...","1017.3","2017-02-18 09:37","1013.0","2017-02-18 14:49","17.8","19.9","2017-02-18 14:57","16.4","2017-02-18 06:27","...","79","68","2017-02-18 23:57","3.1","43","11.5","5","2017-02-18 17:15","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1010.4","...","1014.0","2017-02-19 00:26","1007.5","2017-02-19 23:59","17.9","23.0","2017-02-19 11:01","14.8","2017-02-19 06:50","...","74","53","2017-02-19 11:01","1.4","231","8.8","66","2017-02-19 00:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1008.6","...","1012.1","2017-02-20 22:49","1006.9","2017-02-20 02:46","19.3","24.3","2017-02-20 11:52","15.6","2017-02-21 00:00","...","77","57","2017-02-20 11:55","1.7","37","11.5","25","2017-02-20 22:05","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"21","1010.9","...","1013.8","2017-02-21 08:01","1007.9","2017-02-21 16:26","20.0","23.8","2017-02-21 16:05","16.9","2017-02-21 03:21","...","73","57","2017-02-21 12:20","2.8","14","13.4","27","2017-02-21 04:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1008.8","...","1011.8","2017-02-22 06:13","1005.4","2017-02-22 16:37","18.2","22.7","2017-02-22 10:45","14.5","2017-02-22 06:01","...","90","70","2017-02-22 11:01","1.6","96","8.3","130","2017-02-22 15:25","28.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1011.8","...","1016.3","2017-02-23 20:10","1008.4","2017-02-23 03:39","14.3","19.1","2017-02-24 00:00","10.4","2017-02-23 20:34","...","89","83","2017-02-23 23:45","3.1","23","15.3","27","2017-02-23 15:18","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1015.4","...","1018.1","2017-02-24 10:55","1013.0","2017-02-24 05:02","11.2","12.6","2017-02-24 07:37","9.7","2017-02-24 16:39","...","90","84","2017-02-25 00:00","3.5","29","12.7","21","2017-02-24 12:53","13.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1013.1","...","1015.3","2017-02-25 01:12","1010.9","2017-02-25 14:36","12.5","13.7","2017-02-25 10:36","11.7","2017-02-25 15:07","...","92","86","2017-02-25 21:57","3.0","23","12.0","7","2017-02-25 18:22","23.5","...","...","","...","","...","...","...","...","...","...","","..."
"26","1014.9","...","1017.4","2017-02-26 09:19","1011.7","2017-02-26 02:04","12.0","13.2","2017-02-26 23:51","10.8","2017-02-26 08:57","...","86","73","2017-02-26 23:59","2.6","36","10.9","26","2017-02-26 23:44","12.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1014.7","...","1016.6","2017-02-27 09:11","1013.1","2017-02-27 02:57","14.6","15.7","2017-02-27 14:35","13.0","2017-02-28 00:00","...","67","61","2017-02-27 22:42","3.0","42","12.3","60","2017-02-27 13:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
