"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1010.9","...","1013.0","2018-12-01 07:50","1009.0","2018-12-01 15:29","21.9","25.8","2018-12-01 13:21","18.7","2018-12-02 00:00","...","77","56","2018-12-01 11:11","1.3","8","5.0","271","2018-12-01 11:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1009.1","...","1010.6","2018-12-02 21:28","1006.8","2018-12-02 13:45","21.3","28.1","2018-12-02 13:34","16.8","2018-12-02 06:39","...","73","45","2018-12-02 10:18","1.3","52","6.0","265","2018-12-02 14:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1009.6","...","1011.5","2018-12-03 09:35","1008.0","2018-12-03 15:23","21.7","26.8","2018-12-03 12:31","17.3","2018-12-03 06:24","...","76","48","2018-12-03 11:22","0.9","87","4.5","327","2018-12-03 12:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1009.6","...","1011.3","2018-12-04 09:19","1007.8","2018-12-04 15:29","23.4","29.5","2018-12-04 14:11","17.6","2018-12-04 06:21","...","68","46","2018-12-04 15:05","1.4","89","6.0","13","2018-12-04 20:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1009.1","...","1011.6","2018-12-05 08:53","1006.7","2018-12-05 16:49","21.9","23.2","2018-12-05 12:23","20.6","2018-12-05 06:49","...","77","69","2018-12-05 09:55","2.5","29","12.1","69","2018-12-05 09:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1008.6","...","1010.8","2018-12-06 23:50","1006.3","2018-12-06 14:39","22.3","28.5","2018-12-06 13:26","19.7","2018-12-06 05:19","...","81","57","2018-12-06 14:19","1.7","30","9.7","21","2018-12-06 18:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1012.9","...","1014.9","2018-12-07 21:51","1010.6","2018-12-07 00:08","18.2","20.3","2018-12-07 13:11","16.9","2018-12-07 06:51","...","80","66","2018-12-07 12:09","4.1","35","15.0","44","2018-12-07 12:07","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1013.7","...","1015.9","2018-12-08 10:01","1011.4","2018-12-08 14:58","18.0","20.8","2018-12-08 13:10","16.3","2018-12-08 07:22","...","76","63","2018-12-08 13:28","4.4","35","15.9","53","2018-12-08 16:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1012.9","...","1015.1","2018-12-09 09:50","1010.2","2018-12-09 17:30","18.0","19.8","2018-12-09 15:12","16.4","2018-12-09 02:34","...","80","69","2018-12-09 11:52","3.8","43","13.4","22","2018-12-09 19:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1010.7","...","1013.2","2018-12-10 10:18","1008.3","2018-12-10 15:37","19.5","20.5","2018-12-10 23:08","18.0","2018-12-10 10:25","...","90","85","2018-12-10 00:01","2.6","38","10.4","33","2018-12-10 14:20","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"11","1011.7","...","1015.0","2018-12-11 23:58","1009.6","2018-12-11 00:20","18.7","20.6","2018-12-11 01:19","15.7","2018-12-11 22:54","...","89","81","2018-12-11 23:50","2.9","42","14.0","51","2018-12-11 22:15","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1016.7","...","1018.6","2018-12-12 08:45","1014.8","2018-12-12 00:27","15.0","16.7","2018-12-12 10:06","14.0","2018-12-12 20:29","...","79","70","2018-12-12 09:16","4.0","43","14.4","54","2018-12-12 15:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1016.5","...","1018.0","2018-12-13 09:13","1015.0","2018-12-13 13:13","16.7","18.9","2018-12-13 10:56","14.6","2018-12-13 00:01","...","78","68","2018-12-13 10:59","3.2","37","10.0","98","2018-12-13 10:33","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1016.4","...","1017.6","2018-12-14 08:30","1015.1","2018-12-14 15:21","18.3","20.3","2018-12-14 13:16","17.1","2018-12-14 07:05","...","75","66","2018-12-14 14:38","3.1","49","12.5","53","2018-12-14 15:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1014.3","...","1016.3","2018-12-15 00:22","1011.9","2018-12-15 14:46","20.2","25.1","2018-12-15 13:50","17.6","2018-12-15 01:55","...","71","54","2018-12-15 13:50","2.2","54","10.6","3","2018-12-15 04:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1013.6","...","1015.6","2018-12-16 09:22","1011.8","2018-12-16 15:05","19.1","21.5","2018-12-16 10:23","16.7","2018-12-16 23:55","...","81","68","2018-12-16 15:20","1.6","2","8.4","42","2018-12-16 23:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
