"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.6","...","1014.9","2018-02-01 22:13","1010.1","2018-02-01 15:12","12.3","14.9","2018-02-01 14:34","10.0","2018-02-01 06:04","...","89","75","2018-02-01 14:35","2.3","5","9.3","12","2018-02-01 05:42","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1014.7","...","1016.6","2018-02-02 22:27","1013.3","2018-02-02 02:28","13.5","17.2","2018-02-02 10:55","11.7","2018-02-02 23:12","...","85","72","2018-02-02 10:55","2.6","350","9.4","10","2018-02-02 17:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1015.8","...","1017.5","2018-02-03 22:10","1014.0","2018-02-03 15:25","10.7","12.4","2018-02-03 12:41","8.0","2018-02-03 23:22","...","84","75","2018-02-03 10:15","3.2","355","8.6","7","2018-02-03 02:34","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"04","1016.3","...","1017.8","2018-02-04 22:20","1014.8","2018-02-04 14:45","9.7","11.7","2018-02-04 15:02","8.1","2018-02-04 00:01","...","82","74","2018-02-04 13:48","2.5","357","8.5","341","2018-02-04 16:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1017.0","...","1019.2","2018-02-05 09:41","1014.9","2018-02-05 15:29","8.2","9.2","2018-02-05 00:01","7.4","2018-02-05 17:07","...","83","76","2018-02-05 14:07","2.4","355","8.3","350","2018-02-05 07:31","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1014.1","...","1017.2","2018-02-06 00:35","1011.3","2018-02-06 15:38","10.8","16.7","2018-02-06 14:59","7.0","2018-02-06 07:00","...","71","49","2018-02-06 15:07","1.4","14","7.0","341","2018-02-06 16:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1012.3","...","1014.4","2018-02-07 09:51","1010.2","2018-02-07 16:07","11.1","12.9","2018-02-07 16:51","9.0","2018-02-07 03:24","...","88","73","2018-02-07 00:34","1.4","350","5.1","7","2018-02-07 18:48","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1010.3","...","1013.4","2018-02-08 00:35","1008.1","2018-02-08 14:41","13.2","15.6","2018-02-08 16:48","11.2","2018-02-08 05:33","...","94","84","2018-02-08 15:53","1.1","2","6.3","4","2018-02-08 03:24","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1008.9","...","1010.9","2018-02-09 09:42","1006.8","2018-02-09 15:49","15.6","20.5","2018-02-09 13:35","13.0","2018-02-09 06:45","...","93","74","2018-02-09 13:37","1.5","5","8.0","1","2018-02-09 15:26","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1009.8","...","1012.0","2018-02-10 10:08","1007.2","2018-02-10 14:06","16.2","21.6","2018-02-10 13:27","14.0","2018-02-10 23:59","...","94","72","2018-02-10 13:14","2.1","337","8.0","342","2018-02-10 14:09","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"11","1013.9","...","1017.4","2018-02-11 23:59","1011.7","2018-02-11 03:41","13.7","17.5","2018-02-11 15:45","11.4","2018-02-11 06:30","...","85","67","2018-02-11 15:53","2.8","349","8.7","349","2018-02-11 01:11","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","1017.3","...","1019.4","2018-02-12 09:20","1015.0","2018-02-12 15:52","13.8","17.9","2018-02-12 15:24","12.0","2018-02-12 03:30","...","72","57","2018-02-12 15:42","1.6","350","7.5","342","2018-02-12 16:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1016.0","...","1018.2","2018-02-13 00:38","1013.2","2018-02-13 15:43","15.1","21.4","2018-02-13 14:39","10.0","2018-02-13 06:44","...","71","50","2018-02-13 14:40","1.2","290","5.8","289","2018-02-13 15:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1012.3","...","1015.3","2018-02-14 00:55","1009.2","2018-02-14 15:04","17.7","25.8","2018-02-14 14:39","12.1","2018-02-14 07:08","...","77","35","2018-02-14 14:27","1.3","3","7.1","292","2018-02-14 15:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
