"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","997.9","...","999.5","2017-06-01 10:10","995.9","2017-06-01 17:28","26.9","29.4","2017-06-01 14:07","25.0","2017-06-01 05:28","...","84","72","2017-06-01 14:10","2.9","129","11.6","179","2017-06-01 22:20","11.5","...","...","","...","","...","...","...","...","...","...","","..."
"02","997.5","...","1000.5","2017-06-02 21:07","996.2","2017-06-02 14:49","26.6","29.1","2017-06-02 10:25","22.4","2017-06-02 23:20","...","91","82","2017-06-02 12:15","4.2","219","19.8","276","2017-06-02 20:04","100.5","...","...","","...","","...","...","...","...","...","...","","..."
"03","997.8","...","999.6","2017-06-03 22:59","995.6","2017-06-03 17:41","25.6","29.2","2017-06-03 11:48","22.6","2017-06-04 00:00","...","97","86","2017-06-03 13:24","3.0","47","13.4","242","2017-06-03 12:19","415.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","999.8","...","1002.0","2017-06-04 23:01","998.1","2017-06-04 01:11","26.0","32.4","2017-06-04 14:44","23.8","2017-06-04 11:06","...","91","60","2017-06-04 14:45","1.6","185","10.9","241","2017-06-04 16:22","61.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1002.1","...","1004.1","2017-06-05 23:14","1000.7","2017-06-05 02:28","27.0","30.4","2017-06-05 17:04","24.1","2017-06-05 04:27","...","87","72","2017-06-05 17:05","1.0","70","5.9","262","2017-06-05 08:15","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1003.9","...","1005.0","2017-06-06 22:53","1002.0","2017-06-06 14:57","28.0","33.5","2017-06-06 13:14","24.9","2017-06-06 05:34","...","82","60","2017-06-06 12:40","1.5","74","8.8","243","2017-06-06 14:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1004.2","...","1005.6","2017-06-07 07:41","1002.0","2017-06-07 14:36","28.8","34.0","2017-06-07 12:43","24.9","2017-06-07 04:32","...","79","57","2017-06-07 12:43","1.4","3","8.0","174","2017-06-07 15:16","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1004.3","...","1005.6","2017-06-08 09:39","1002.4","2017-06-08 17:04","28.7","33.1","2017-06-08 11:56","24.9","2017-06-08 04:44","...","79","58","2017-06-08 12:08","1.3","4","7.0","338","2017-06-08 15:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1003.7","...","1004.9","2017-06-09 23:01","1002.2","2017-06-09 17:21","28.8","33.3","2017-06-09 11:29","25.5","2017-06-09 05:50","...","79","56","2017-06-09 11:06","1.4","6","7.2","289","2017-06-09 13:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1002.6","...","1004.9","2017-06-10 00:10","1000.8","2017-06-10 15:30","28.8","34.0","2017-06-10 14:24","25.5","2017-06-10 05:39","...","80","55","2017-06-10 11:43","1.5","68","11.2","266","2017-06-10 15:04","2.5","...","...","","...","","...","...","...","...","...","...","","..."
