"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.3","...","1013.4","2018-12-01 00:41","1008.9","2018-12-01 15:24","22.1","27.5","2018-12-01 14:35","18.7","2018-12-01 06:39","...","87","48","2018-12-01 14:44","1.3","3","6.9","296","2018-12-01 11:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1009.7","...","1011.1","2018-12-02 08:58","1007.6","2018-12-02 15:15","21.5","27.2","2018-12-02 15:22","16.5","2018-12-02 05:55","...","84","54","2018-12-02 13:31","1.2","1","5.8","282","2018-12-02 13:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1009.9","...","1012.1","2018-12-03 09:24","1007.8","2018-12-03 15:15","22.1","29.2","2018-12-03 13:04","16.3","2018-12-03 06:11","...","76","37","2018-12-03 13:39","1.0","10","5.5","350","2018-12-03 15:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1009.6","...","1012.0","2018-12-04 09:06","1007.8","2018-12-04 14:57","23.4","29.5","2018-12-04 14:38","17.1","2018-12-04 05:37","...","75","49","2018-12-04 09:17","1.6","72","6.7","341","2018-12-04 14:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1008.4","...","1010.4","2018-12-05 09:25","1006.1","2018-12-05 15:39","23.7","29.5","2018-12-05 13:26","20.2","2018-12-05 04:07","...","83","55","2018-12-05 13:27","1.7","1","5.7","345","2018-12-05 12:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1008.3","...","1009.6","2018-12-06 09:53","1006.1","2018-12-06 14:58","24.4","30.3","2018-12-06 14:24","20.8","2018-12-06 04:04","...","85","54","2018-12-06 12:27","1.5","346","7.3","337","2018-12-06 16:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1010.7","...","1013.1","2018-12-07 22:26","1008.6","2018-12-07 14:06","21.4","26.6","2018-12-07 13:23","19.1","2018-12-07 22:32","...","82","58","2018-12-07 13:26","2.4","347","8.3","356","2018-12-07 17:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1012.1","...","1013.4","2018-12-08 09:40","1010.1","2018-12-08 14:50","20.1","24.6","2018-12-08 13:57","17.6","2018-12-08 06:37","...","81","59","2018-12-08 12:15","2.4","352","6.9","8","2018-12-08 16:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1011.8","...","1013.7","2018-12-09 09:38","1009.0","2018-12-09 15:11","19.7","24.1","2018-12-09 14:06","17.6","2018-12-09 06:51","...","87","65","2018-12-09 14:07","2.1","4","6.9","309","2018-12-09 13:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1010.0","...","1012.2","2018-12-10 08:24","1007.5","2018-12-10 15:24","20.1","23.1","2018-12-10 12:44","17.9","2018-12-10 01:43","...","95","83","2018-12-10 12:44","1.8","359","6.9","2","2018-12-10 10:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1010.2","...","1012.1","2018-12-11 09:19","1008.2","2018-12-11 14:49","20.9","24.9","2018-12-11 13:25","18.3","2018-12-11 23:51","...","91","74","2018-12-11 13:26","2.2","359","8.4","12","2018-12-11 15:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1014.1","...","1015.9","2018-12-12 22:20","1011.8","2018-12-12 00:25","17.6","20.0","2018-12-12 13:26","15.8","2018-12-12 22:45","...","79","68","2018-12-12 13:12","2.4","348","7.2","351","2018-12-12 08:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1015.6","...","1017.0","2018-12-13 09:38","1013.9","2018-12-13 14:08","18.5","24.2","2018-12-13 13:06","15.6","2018-12-13 03:43","...","80","60","2018-12-13 13:06","2.0","10","7.9","342","2018-12-13 15:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1015.7","...","1017.5","2018-12-14 08:33","1013.7","2018-12-14 15:07","20.0","25.0","2018-12-14 13:57","17.3","2018-12-14 05:02","...","82","62","2018-12-14 13:57","1.4","345","6.0","302","2018-12-14 15:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1014.5","...","1016.6","2018-12-15 09:27","1012.4","2018-12-15 15:34","20.5","25.7","2018-12-15 13:31","16.1","2018-12-15 06:41","...","84","60","2018-12-15 13:40","1.0","326","5.8","325","2018-12-15 15:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1013.1","...","1015.4","2018-12-16 09:21","1010.2","2018-12-16 15:07","21.3","27.7","2018-12-16 12:58","18.4","2018-12-16 23:52","...","82","46","2018-12-16 12:55","1.9","351","8.3","346","2018-12-16 16:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1013.2","...","1015.5","2018-12-17 09:47","1011.4","2018-12-17 15:09","17.9","22.8","2018-12-17 13:46","14.6","2018-12-17 23:58","...","67","41","2018-12-17 14:19","2.1","1","8.1","329","2018-12-17 14:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1013.9","...","1015.8","2018-12-18 08:44","1011.5","2018-12-18 14:28","18.2","24.7","2018-12-18 14:17","13.2","2018-12-18 07:06","...","70","49","2018-12-18 14:18","1.0","109","4.7","305","2018-12-18 15:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1013.0","...","...","","...","","18.8","...","","...","","...","78","...","","1.5","67","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1010.2","...","1012.9","2018-12-20 00:02","1006.8","2018-12-20 15:02","20.8","29.9","2018-12-20 14:51","14.3","2018-12-20 05:33","...","66","21","2018-12-20 14:01","0.9","81","5.9","306","2018-12-20 16:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1009.8","...","1011.7","2018-12-21 09:03","1007.8","2018-12-21 14:46","20.3","25.7","2018-12-21 12:54","15.7","2018-12-21 05:11","...","82","49","2018-12-21 12:14","1.5","4","6.8","341","2018-12-21 14:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1009.9","...","1011.5","2018-12-22 09:24","1007.9","2018-12-22 14:50","21.5","27.4","2018-12-22 14:17","17.9","2018-12-22 04:26","...","90","55","2018-12-22 14:29","1.6","16","6.3","329","2018-12-22 15:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1009.0","...","1010.6","2018-12-23 08:48","1006.8","2018-12-23 14:09","21.5","26.8","2018-12-23 12:59","18.3","2018-12-23 23:29","...","92","69","2018-12-23 12:59","1.5","5","6.8","352","2018-12-23 16:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1008.6","...","1011.3","2018-12-24 09:29","1006.7","2018-12-24 15:36","19.2","23.8","2018-12-24 12:37","17.3","2018-12-24 07:33","...","85","65","2018-12-24 14:10","2.3","341","7.6","352","2018-12-24 05:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1006.8","...","1008.3","2018-12-25 08:23","1005.0","2018-12-25 14:06","21.0","27.0","2018-12-25 12:29","17.6","2018-12-25 01:51","...","89","63","2018-12-25 12:02","2.1","342","6.8","351","2018-12-25 14:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1005.9","...","1007.6","2018-12-26 08:40","1003.7","2018-12-26 14:23","21.2","26.1","2018-12-26 12:30","19.3","2018-12-26 06:33","...","92","68","2018-12-26 12:16","2.5","358","7.9","356","2018-12-26 15:26","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1008.0","...","1010.7","2018-12-27 22:32","1005.4","2018-12-27 13:44","19.5","23.4","2018-12-27 12:21","16.6","2018-12-27 23:58","...","80","62","2018-12-27 12:30","3.5","353","10.6","347","2018-12-27 15:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1012.0","...","1014.7","2018-12-28 22:21","1009.5","2018-12-28 14:14","17.7","23.5","2018-12-28 13:57","15.2","2018-12-28 23:59","...","70","49","2018-12-28 13:57","2.5","354","9.6","340","2018-12-28 16:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1016.1","...","1018.2","2018-12-29 20:58","1013.8","2018-12-29 14:18","15.7","21.4","2018-12-29 13:51","13.0","2018-12-30 00:00","...","69","49","2018-12-29 13:51","2.5","349","8.2","3","2018-12-29 16:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1015.8","...","1017.7","2018-12-31 00:00","1013.6","2018-12-30 14:34","16.8","22.0","2018-12-30 16:26","12.2","2018-12-30 04:32","...","74","52","2018-12-30 16:26","1.3","3","6.2","276","2018-12-30 11:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"31","1016.9","...","1018.6","2018-12-31 09:24","1014.6","2018-12-31 13:55","17.2","20.8","2018-12-31 14:57","15.5","2018-12-31 23:47","...","87","70","2018-12-31 14:58","2.3","352","7.6","11","2018-12-31 09:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
