"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1004.0","...","1006.1","2018-09-01 00:11","1001.7","2018-09-01 16:04","27.6","32.4","2018-09-01 12:40","24.8","2018-09-01 17:40","...","85","55","2018-09-01 12:40","1.1","87","6.6","289","2018-09-01 14:51","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1001.3","...","1003.7","2018-09-02 00:06","999.0","2018-09-02 14:58","27.7","32.6","2018-09-02 12:29","24.5","2018-09-02 06:38","...","84","59","2018-09-02 13:12","1.4","108","7.6","277","2018-09-02 14:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","999.8","...","1001.2","2018-09-03 00:01","997.9","2018-09-03 16:42","28.0","32.0","2018-09-03 15:19","24.0","2018-09-03 05:32","...","77","53","2018-09-03 14:24","2.0","222","7.3","276","2018-09-03 13:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","998.7","...","999.9","2018-09-04 09:24","996.1","2018-09-04 15:15","28.8","33.0","2018-09-04 13:03","24.8","2018-09-04 05:28","...","81","61","2018-09-04 12:55","2.5","225","7.4","238","2018-09-04 15:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","999.1","...","1000.7","2018-09-05 23:02","997.4","2018-09-05 14:29","28.4","33.4","2018-09-05 12:30","25.7","2018-09-05 15:36","...","89","62","2018-09-05 12:31","1.4","86","6.7","136","2018-09-05 14:54","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"06","999.5","...","1000.8","2018-09-06 23:29","997.8","2018-09-06 13:58","27.3","32.6","2018-09-06 11:49","23.3","2018-09-06 16:29","...","89","64","2018-09-06 12:06","1.1","26","8.3","204","2018-09-06 15:16","16.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1000.2","...","1002.3","2018-09-07 20:42","998.0","2018-09-07 14:33","27.6","32.8","2018-09-07 12:07","23.7","2018-09-07 20:41","...","87","62","2018-09-07 12:08","1.4","101","7.2","93","2018-09-07 19:22","56.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1001.4","...","1002.7","2018-09-08 22:00","1000.1","2018-09-08 13:46","27.2","32.0","2018-09-08 12:03","24.6","2018-09-08 05:32","...","88","63","2018-09-08 11:15","1.3","114","8.3","328","2018-09-08 12:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1002.0","...","1004.1","2018-09-09 22:17","1000.1","2018-09-09 15:42","26.6","30.0","2018-09-09 13:36","24.6","2018-09-09 23:15","...","87","69","2018-09-09 13:19","2.6","1","10.9","10","2018-09-09 12:04","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1001.4","...","1003.5","2018-09-10 00:29","999.6","2018-09-10 15:21","26.6","32.0","2018-09-10 13:44","23.1","2018-09-10 06:14","...","84","60","2018-09-10 13:15","1.8","352","6.0","294","2018-09-10 14:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1001.5","...","1003.6","2018-09-11 21:42","999.3","2018-09-11 02:37","27.2","30.3","2018-09-11 12:48","25.1","2018-09-11 03:24","...","92","71","2018-09-11 13:21","1.7","208","5.5","249","2018-09-11 12:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1002.6","...","1003.9","2018-09-12 22:09","1000.7","2018-09-12 16:28","27.8","32.2","2018-09-12 11:08","25.0","2018-09-12 05:05","...","90","66","2018-09-12 10:52","1.2","336","5.8","309","2018-09-12 12:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1002.3","...","1003.6","2018-09-13 09:42","1001.0","2018-09-13 16:10","28.7","32.8","2018-09-13 13:06","26.1","2018-09-13 04:29","...","87","65","2018-09-13 12:50","1.3","281","5.9","238","2018-09-13 12:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
