"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1001.6","...","1002.8","2017-07-01 23:40","999.0","2017-07-01 15:35","28.1","34.8","2017-07-01 13:24","24.1","2017-07-01 05:25","...","78","48","2017-07-01 13:13","1.8","76","13.6","189","2017-07-01 15:07","11.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1002.0","...","1003.9","2017-07-02 22:16","1000.3","2017-07-02 14:00","27.2","33.3","2017-07-02 11:54","24.2","2017-07-02 05:04","...","84","53","2017-07-02 11:20","1.8","72","11.1","260","2017-07-02 13:13","8.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1002.0","...","1004.6","2017-07-03 22:11","999.7","2017-07-03 16:15","28.2","34.1","2017-07-03 13:26","23.4","2017-07-03 19:41","...","81","53","2017-07-03 12:24","1.8","138","11.3","112","2017-07-03 19:27","26.5","...","...","","...","","...","...","...","...","...","...","","..."
"04","1003.6","...","1005.4","2017-07-04 14:32","1001.7","2017-07-04 03:28","26.9","34.2","2017-07-04 13:04","23.4","2017-07-04 15:16","...","87","51","2017-07-04 12:46","1.1","91","11.4","66","2017-07-04 14:09","63.5","...","...","","...","","...","...","...","...","...","...","","..."
"05","1004.7","...","1006.1","2017-07-05 23:14","1003.1","2017-07-05 17:07","28.4","34.0","2017-07-05 13:10","23.9","2017-07-05 04:52","...","79","51","2017-07-05 12:42","1.2","86","6.5","8","2017-07-05 14:28","4.5","...","...","","...","","...","...","...","...","...","...","","..."
"06","1004.6","...","1006.4","2017-07-06 21:08","1003.0","2017-07-06 16:25","27.0","33.2","2017-07-06 12:37","24.2","2017-07-06 20:06","...","88","57","2017-07-06 11:01","1.5","74","9.1","79","2017-07-06 13:45","43.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1005.0","...","1007.7","2017-07-07 22:32","1003.5","2017-07-07 14:16","26.9","33.5","2017-07-07 12:56","23.8","2017-07-07 05:16","...","84","55","2017-07-07 12:28","1.6","80","12.3","232","2017-07-07 13:29","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1005.2","...","1006.9","2017-07-08 00:04","1003.0","2017-07-08 14:28","27.2","32.9","2017-07-08 13:28","23.9","2017-07-08 20:12","...","84","61","2017-07-08 12:09","1.6","33","11.2","277","2017-07-08 14:19","5.5","...","...","","...","","...","...","...","...","...","...","","..."
"09","1004.1","...","1006.4","2017-07-10 00:00","1002.4","2017-07-09 16:28","27.9","33.5","2017-07-09 13:58","24.3","2017-07-09 18:23","...","85","59","2017-07-09 11:44","1.4","74","7.4","199","2017-07-09 18:18","8.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1002.8","...","1004.7","2017-07-10 22:33","1000.7","2017-07-10 16:55","28.7","33.9","2017-07-10 14:58","25.3","2017-07-10 06:04","...","82","55","2017-07-10 12:35","2.1","219","11.1","261","2017-07-10 15:51","11.0","...","...","","...","","...","...","...","...","...","...","","..."
